Genotype	Provenance	Latitude	Longitude	Elevation	MAT	MWMT	MCMT	TD	MAP	MSP	AHM	SHM	DD_0	DD5	DD_18	DD18	NFFD	bFFP	eFFP	FFP	PAS	EMT	EXT	MAR	Eref	CMD	RH
ALAA20_1	ALAA	50.983333	-126.116667	0	7.4	14.7	0.5	14.2	2726	658	6.4	22.3	207	1426	3891	28	246	126	292	166	281	-22.6	32.1	9.9	591	17	71
ALAA20_2	ALAA	50.983333	-126.116667	0	7.4	14.7	0.5	14.2	2726	658	6.4	22.3	207	1426	3891	28	246	126	292	166	281	-22.6	32.1	9.9	591	17	71
ALAA20_3	ALAA	50.983333	-126.116667	0	7.4	14.7	0.5	14.2	2726	658	6.4	22.3	207	1426	3891	28	246	126	292	166	281	-22.6	32.1	9.9	591	17	71
ALAA20_4	ALAA	50.983333	-126.116667	0	7.4	14.7	0.5	14.2	2726	658	6.4	22.3	207	1426	3891	28	246	126	292	166	281	-22.6	32.1	9.9	591	17	71
ALAA20_5	ALAA	50.983333	-126.116667	0	7.4	14.7	0.5	14.2	2726	658	6.4	22.3	207	1426	3891	28	246	126	292	166	281	-22.6	32.1	9.9	591	17	71
ALSC01_4	ALSC	59.616667	-137.916667	107	3.2	13.5	-7.7	21.2	1536	500	8.6	27	869	997	5369	27	175	141	269	128	632	-36.7	29.5	10.1	387	17	70
ALSC01_5	ALSC	59.616667	-137.916667	107	3.2	13.5	-7.7	21.2	1536	500	8.6	27	869	997	5369	27	175	141	269	128	632	-36.7	29.5	10.1	387	17	70
AMER13_3	AMER	54.633333	-124.966667	701	2.4	14.3	-11.3	25.6	526	214	23.6	66.7	1169	1066	5668	18	152	160	256	96	233	-41.7	32.5	10.4	514	256	61
BELA18_1	BELA	52.416667	-126.166667	152	6.8	16.9	-3.8	20.7	825	180	20.4	93.4	444	1637	4139	66	200	143	274	131	220	-30.9	34.9	10.6	685	398	62
BELA18_2	BELA	52.416667	-126.166667	152	6.8	16.9	-3.8	20.7	825	180	20.4	93.4	444	1637	4139	66	200	143	274	131	220	-30.9	34.9	10.6	685	398	62
BELA18_3	BELA	52.416667	-126.166667	152	6.8	16.9	-3.8	20.7	825	180	20.4	93.4	444	1637	4139	66	200	143	274	131	220	-30.9	34.9	10.6	685	398	62
BELA18_4	BELA	52.416667	-126.166667	152	6.8	16.9	-3.8	20.7	825	180	20.4	93.4	444	1637	4139	66	200	143	274	131	220	-30.9	34.9	10.6	685	398	62
BELA18_5	BELA	52.416667	-126.166667	152	6.8	16.9	-3.8	20.7	825	180	20.4	93.4	444	1637	4139	66	200	143	274	131	220	-30.9	34.9	10.6	685	398	62
BELC18_1	BELC	52.383333	-126.6	135	6.2	15	-3	18	1480	344	10.9	43.7	402	1363	4317	33	206	140	278	139	338	-29.6	32.8	9.2	589	169	67
