Genotype	Provenance	Latitude	Longitude	Elevation	MAT	MWMT	MCMT	TD	MAP	MSP	AHM	SHM	DD_0	DD5	DD_18	DD18	NFFD	bFFP	eFFP	FFP	PAS	EMT	EXT	MAR	Eref	CMD	RH
BELC18_2	BELC	52.383333	-126.6	135	6.2	15	-3	18	1480	344	10.9	43.7	402	1363	4317	33	206	140	278	139	338	-29.6	32.8	9.2	589	169	67
BELC18_3	BELC	52.383333	-126.6	135	6.2	15	-3	18	1480	344	10.9	43.7	402	1363	4317	33	206	140	278	139	338	-29.6	32.8	9.2	589	169	67
BELC18_4	BELC	52.383333	-126.6	135	6.2	15	-3	18	1480	344	10.9	43.7	402	1363	4317	33	206	140	278	139	338	-29.6	32.8	9.2	589	169	67
BELC18_5	BELC	52.383333	-126.6	135	6.2	15	-3	18	1480	344	10.9	43.7	402	1363	4317	33	206	140	278	139	338	-29.6	32.8	9.2	589	169	67
BLCG28_1	BLCG	49.833333	-125.183333	91	8.7	16.7	1.5	15.2	1516	276	12.3	60.7	157	1791	3452	66	268	116	293	177	108	-20	35.2	11.1	674	220	70
BLCG28_3	BLCG	49.833333	-125.183333	91	8.7	16.7	1.5	15.2	1516	276	12.3	60.7	157	1791	3452	66	268	116	293	177	108	-20	35.2	11.1	674	220	70
BULA11_4	BULA	55.25	-127.5	311	4.1	15	-8.8	23.8	544	248	25.9	60.7	861	1243	5078	29	171	149	262	113	173	-38.1	33.3	9.9	568	261	63
BULB11_1	BULB	55.116667	-127.35	427	3.8	14.8	-8.9	23.7	590	260	23.5	56.9	885	1195	5162	25	171	148	262	115	201	-38.2	33.1	10	527	226	64
BULF11_2	BULF	54.55	-126.833333	561	3.1	14.3	-10	24.2	435	190	30.2	75	1007	1106	5409	19	156	156	254	97	168	-40.6	32.9	10.3	541	311	60
BULF11_3	BULF	54.55	-126.833333	561	3.1	14.3	-10	24.2	435	190	30.2	75	1007	1106	5409	19	156	156	254	97	168	-40.6	32.9	10.3	541	311	60
BULF11_4	BULF	54.55	-126.833333	561	3.1	14.3	-10	24.2	435	190	30.2	75	1007	1106	5409	19	156	156	254	97	168	-40.6	32.9	10.3	541	311	60
BULF11_5	BULF	54.55	-126.833333	561	3.1	14.3	-10	24.2	435	190	30.2	75	1007	1106	5409	19	156	156	254	97	168	-40.6	32.9	10.3	541	311	60
BULG11_2	BULG	54.45	-126.8	579	3.1	14.3	-10.1	24.4	418	187	31.4	76.4	1016	1103	5424	18	154	158	253	96	160	-40.8	32.9	10.3	543	317	60
BULG11_4	BULG	54.45	-126.8	579	3.1	14.3	-10.1	24.4	418	187	31.4	76.4	1016	1103	5424	18	154	158	253	96	160	-40.8	32.9	10.3	543	317	60
BULG11_5	BULG	54.45	-126.8	579	3.1	14.3	-10.1	24.4	418	187	31.4	76.4	1016	1103	5424	18	154	158	253	96	160	-40.8	32.9	10.3	543	317	60
CARS29_2	CARS	45.75	-122.833333	650	10.6	18.1	3.7	14.4	1432	306	14.4	59.2	85	2283	2809	123	308	91	316	225	36	-15.9	36.4	12.5	786	295	70
CARS29_3	CARS	45.75	-122.833333	650	10.6	18.1	3.7	14.4	1432	306	14.4	59.2	85	2283	2809	123	308	91	316	225	36	-15.9	36.4	12.5	786	295	70
CARS29_4	CARS	45.75	-122.833333	650	10.6	18.1	3.7	14.4	1432	306	14.4	59.2	85	2283	2809	123	308	91	316	225	36	-15.9	36.4	12.5	786	295	70
CDRE10_1	CDRE	55.016667	-128.333333	152	5.2	16.2	-6.8	23	810	216	18.8	74.9	688	1429	4674	47	188	145	271	126	256	-34.6	34.4	9.6	591	313	65
CDRE10_3	CDRE	55.016667	-128.333333	152	5.2	16.2	-6.8	23	810	216	18.8	74.9	688	1429	4674	47	188	145	271	126	256	-34.6	34.4	9.6	591	313	65
CEDA10_2	CEDA	54.95	-128.916667	274	5.3	15.6	-5.8	21.4	1041	268	14.7	58.2	616	1348	4658	41	190	149	270	121	372	-32.9	33.9	9.7	579	266	66
CEDA10_4	CEDA	54.95	-128.916667	274	5.3	15.6	-5.8	21.4	1041	268	14.7	58.2	616	1348	4658	41	190	149	270	121	372	-32.9	33.9	9.7	579	266	66
CHIL14_2	CHIL	54.883333	-122.983333	183	3	15.4	-12.1	27.5	601	185	21.6	83.1	1191	1257	5478	29	148	165	252	88	316	-42.1	34.6	10.1	588	344	56
CHKC19_1	CHKC	51.733333	-127.316667	67	7.3	14.2	1.4	12.8	2892	724	6	19.6	174	1335	3897	22	262	121	297	176	222	-20.3	31.4	9.5	521	0	76
CHKC19_2	CHKC	51.733333	-127.316667	67	7.3	14.2	1.4	12.8	2892	724	6	19.6	174	1335	3897	22	262	121	297	176	222	-20.3	31.4	9.5	521	0	76
CHKC19_3	CHKC	51.733333	-127.316667	67	7.3	14.2	1.4	12.8	2892	724	6	19.6	174	1335	3897	22	262	121	297	176	222	-20.3	31.4	9.5	521	0	76
CHKC19_4	CHKC	51.733333	-127.316667	67	7.3	14.2	1.4	12.8	2892	724	6	19.6	174	1335	3897	22	262	121	297	176	222	-20.3	31.4	9.5	521	0	76
CHKD19_1	CHKD	51.766667	-127.2	79	6.2	13.4	-0.1	13.5	3279	864	4.9	15.5	251	1126	4297	16	212	144	281	137	422	-26	31.2	9.9	551	0	68
CHKD19_2	CHKD	51.766667	-127.2	79	6.2	13.4	-0.1	13.5	3279	864	4.9	15.5	251	1126	4297	16	212	144	281	137	422	-26	31.2	9.9	551	0	68
CHKD19_3	CHKD	51.766667	-127.2	79	6.2	13.4	-0.1	13.5	3279	864	4.9	15.5	251	1126	4297	16	212	144	281	137	422	-26	31.2	9.9	551	0	68
CHKD19_4	CHKD	51.766667	-127.2	79	6.2	13.4	-0.1	13.5	3279	864	4.9	15.5	251	1126	4297	16	212	144	281	137	422	-26	31.2	9.9	551	0	68
CHKD19_5	CHKD	51.766667	-127.2	79	6.2	13.4	-0.1	13.5	3279	864	4.9	15.5	251	1126	4297	16	212	144	281	137	422	-26	31.2	9.9	551	0	68
CHWH27_1	CHWH	49.1	-121.516667	480	5.8	14.5	-2.1	16.6	1557	340	10.2	42.7	369	1212	4440	22	194	151	275	123	370	-28.7	33.1	11.8	626	146	65
CHWH27_2	CHWH	49.1	-121.516667	480	5.8	14.5	-2.1	16.6	1557	340	10.2	42.7	369	1212	4440	22	194	151	275	123	370	-28.7	33.1	11.8	626	146	65
CHWH27_3	CHWH	49.1	-121.516667	480	5.8	14.5	-2.1	16.6	1557	340	10.2	42.7	369	1212	4440	22	194	151	275	123	370	-28.7	33.1	11.8	626	146	65
CHWH27_4	CHWH	49.1	-121.516667	480	5.8	14.5	-2.1	16.6	1557	340	10.2	42.7	369	1212	4440	22	194	151	275	123	370	-28.7	33.1	11.8	626	146	65
CHWH27_5	CHWH	49.1	-121.516667	480	5.8	14.5	-2.1	16.6	1557	340	10.2	42.7	369	1212	4440	22	194	151	275	123	370	-28.7	33.1	11.8	626	146	65
CHWI27_4	CHWI	49.1	-121.633333	360	6.8	15.5	-1	16.5	1307	286	12.9	54.2	289	1414	4101	34	215	142	282	140	227	-26.4	34.1	12.9	648	202	66
CHWJ27_2	CHWJ	49.083333	-121.716667	280	7.8	16.1	-0.1	16.3	1512	353	11.8	45.6	221	1620	3751	48	241	128	289	161	167	-24.1	34.4	9.4	663	158	68
CHWK27_2	CHWK	49.083333	-121.733333	280	7.8	16.1	-0.1	16.2	1579	373	11.3	43.1	221	1610	3760	47	239	130	289	159	174	-24.4	34.4	9.2	666	145	68
CHWK27_3	CHWK	49.083333	-121.733333	280	7.8	16.1	-0.1	16.2	1579	373	11.3	43.1	221	1610	3760	47	239	130	289	159	174	-24.4	34.4	9.2	666	145	68
CMBF28_1	CMBF	49.95	-125.25	76	8.7	16.7	1.5	15.2	1470	289	12.7	58	157	1799	3445	67	271	113	296	183	101	-19.8	35.1	11.1	664	207	71
CMBF28_2	CMBF	49.95	-125.25	76	8.7	16.7	1.5	15.2	1470	289	12.7	58	157	1799	3445	67	271	113	296	183	101	-19.8	35.1	11.1	664	207	71
CMBF28_3	CMBF	49.95	-125.25	76	8.7	16.7	1.5	15.2	1470	289	12.7	58	157	1799	3445	67	271	113	296	183	101	-19.8	35.1	11.1	664	207	71
CNYH28_1	CNYH	49.666667	-125.066667	76	8.9	16.9	1.7	15.2	1534	237	12.3	71.3	151	1835	3398	72	271	115	295	180	106	-19.7	35.2	11.1	679	257	70
CNYH28_2	CNYH	49.666667	-125.066667	76	8.9	16.9	1.7	15.2	1534	237	12.3	71.3	151	1835	3398	72	271	115	295	180	106	-19.7	35.2	11.1	679	257	70
CNYH28_4	CNYH	49.666667	-125.066667	76	8.9	16.9	1.7	15.2	1534	237	12.3	71.3	151	1835	3398	72	271	115	295	180	106	-19.7	35.2	11.1	679	257	70
CNYH28_5	CNYH	49.666667	-125.066667	76	8.9	16.9	1.7	15.2	1534	237	12.3	71.3	151	1835	3398	72	271	115	295	180	106	-19.7	35.2	11.1	679	257	70
CSYJ28_1	CSYJ	49.066667	-123.866667	20	9.7	17.6	2.8	14.7	1045	186	18.8	94.6	113	2026	3123	93	295	98	309	212	46	-17.2	35.2	11.5	663	296	73
CSYJ28_2	CSYJ	49.066667	-123.866667	20	9.7	17.6	2.8	14.7	1045	186	18.8	94.6	113	2026	3123	93	295	98	309	212	46	-17.2	35.2	11.5	663	296	73
CSYJ28_3	CSYJ	49.066667	-123.866667	20	9.7	17.6	2.8	14.7	1045	186	18.8	94.6	113	2026	3123	93	295	98	309	212	46	-17.2	35.2	11.5	663	296	73
DENA17_2	DENA	52.766667	-126.616667	213	4.8	14.5	-5.3	19.9	873	256	17	56.7	610	1204	4795	25	165	162	263	101	294	-34.4	33.3	9.3	619	287	59
DENA17_3	DENA	52.766667	-126.616667	213	4.8	14.5	-5.3	19.9	873	256	17	56.7	610	1204	4795	25	165	162	263	101	294	-34.4	33.3	9.3	619	287	59
DENA17_4	DENA	52.766667	-126.616667	213	4.8	14.5	-5.3	19.9	873	256	17	56.7	610	1204	4795	25	165	162	263	101	294	-34.4	33.3	9.3	619	287	59
DENB17_1	DENB	52.833333	-126.7	152	5.6	15.2	-4.4	19.6	951	272	16.4	56	520	1332	4531	33	181	153	269	116	272	-32.8	33.6	12.3	623	282	61
DENB17_2	DENB	52.833333	-126.7	152	5.6	15.2	-4.4	19.6	951	272	16.4	56	520	1332	4531	33	181	153	269	116	272	-32.8	33.6	12.3	623	282	61
DENB17_4	DENB	52.833333	-126.7	152	5.6	15.2	-4.4	19.6	951	272	16.4	56	520	1332	4531	33	181	153	269	116	272	-32.8	33.6	12.3	623	282	61
DENC17_2	DENC	52.833333	-126.8	91	6.4	15.7	-3.2	18.9	1135	316	14.5	49.6	407	1465	4229	44	208	139	279	140	246	-29.7	33.3	9.2	609	223	66
DENC17_3	DENC	52.833333	-126.8	91	6.4	15.7	-3.2	18.9	1135	316	14.5	49.6	407	1465	4229	44	208	139	279	140	246	-29.7	33.3	9.2	609	223	66
DENC17_4	DENC	52.833333	-126.8	91	6.4	15.7	-3.2	18.9	1135	316	14.5	49.6	407	1465	4229	44	208	139	279	140	246	-29.7	33.3	9.2	609	223	66
DENC17_5	DENC	52.833333	-126.8	91	6.4	15.7	-3.2	18.9	1135	316	14.5	49.6	407	1465	4229	44	208	139	279	140	246	-29.7	33.3	9.2	609	223	66
DEND17_2	DEND	52.816667	-126.95	27	7.2	15.8	-1.9	17.7	1363	347	12.6	45.5	307	1557	3968	52	230	129	287	158	214	-27.1	33.1	9.7	602	180	69
DEND17_3	DEND	52.816667	-126.95	27	7.2	15.8	-1.9	17.7	1363	347	12.6	45.5	307	1557	3968	52	230	129	287	158	214	-27.1	33.1	9.7	602	180	69
DEND17_5	DEND	52.816667	-126.95	27	7.2	15.8	-1.9	17.7	1363	347	12.6	45.5	307	1557	3968	52	230	129	287	158	214	-27.1	33.1	9.7	602	180	69
DESD02_2	DESD	59.45	-129.016667	674	-1	13.8	-17.5	31.3	422	201	21.2	68.8	2091	891	6921	11	124	173	241	68	209	-49.4	32	10	469	241	57
ELAD25_2	ELAD	50.25	-123.583333	305	6.9	16.8	-2.8	19.6	1773	338	9.6	49.5	389	1618	4078	62	219	131	280	149	425	-27.6	35.5	11	663	232	67
ELAD25_4	ELAD	50.25	-123.583333	305	6.9	16.8	-2.8	19.6	1773	338	9.6	49.5	389	1618	4078	62	219	131	280	149	425	-27.6	35.5	11	663	232	67
ELAD25_5	ELAD	50.25	-123.583333	305	6.9	16.8	-2.8	19.6	1773	338	9.6	49.5	389	1618	4078	62	219	131	280	149	425	-27.6	35.5	11	663	232	67
FKRB06_1	FKRB	56.733333	-130.633333	280	2.7	13	-9	22.1	1049	296	12.1	44	972	935	5566	20	163	155	263	108	519	-37.7	30.7	9.6	456	178	68
FNYI28_1	FNYI	49.516667	-124.85	46	9.1	17.1	2	15.2	1375	206	13.9	83	141	1887	3326	78	279	111	299	187	86	-18.8	35.2	-9999	678	287	71
FNYI28_2	FNYI	49.516667	-124.85	46	9.1	17.1	2	15.2	1375	206	13.9	83	141	1887	3326	78	279	111	299	187	86	-18.8	35.2	-9999	678	287	71
FNYI28_3	FNYI	49.516667	-124.85	46	9.1	17.1	2	15.2	1375	206	13.9	83	141	1887	3326	78	279	111	299	187	86	-18.8	35.2	-9999	678	287	71
FNYI28_4	FNYI	49.516667	-124.85	46	9.1	17.1	2	15.2	1375	206	13.9	83	141	1887	3326	78	279	111	299	187	86	-18.8	35.2	-9999	678	287	71
GLCA26_1	GLCA	49.866667	-122.45	366	6.8	16.5	-2.8	19.2	1445	307	11.6	53.7	382	1561	4122	56	210	141	280	139	335	-28.4	35.9	-9999	691	233	65
GLCB26_1	GLCB	50.1	-123	579	5.7	15.3	-3.4	18.7	1402	295	11.2	51.8	469	1320	4507	33	186	153	273	120	426	-30.2	34.6	11.7	639	215	64
GLCB26_2	GLCB	50.1	-123	579	5.7	15.3	-3.4	18.7	1402	295	11.2	51.8	469	1320	4507	33	186	153	273	120	426	-30.2	34.6	11.7	639	215	64
GLCB26_3	GLCB	50.1	-123	579	5.7	15.3	-3.4	18.7	1402	295	11.2	51.8	469	1320	4507	33	186	153	273	120	426	-30.2	34.6	11.7	639	215	64
GLCB26_4	GLCB	50.1	-123	579	5.7	15.3	-3.4	18.7	1402	295	11.2	51.8	469	1320	4507	33	186	153	273	120	426	-30.2	34.6	11.7	639	215	64
HALS30_1	HALS	44.416667	-123.333333	300	10.6	18.1	3.8	14.3	1445	179	14.3	100.9	82	2267	2805	116	298	106	308	202	42	-16.7	38	13.9	869	425	65
HALS30_2	HALS	44.416667	-123.333333	300	10.6	18.1	3.8	14.3	1445	179	14.3	100.9	82	2267	2805	116	298	106	308	202	42	-16.7	38	13.9	869	425	65
HALS30_4	HALS	44.416667	-123.333333	300	10.6	18.1	3.8	14.3	1445	179	14.3	100.9	82	2267	2805	116	298	106	308	202	42	-16.7	38	13.9	869	425	65
HARB26_1	HARB	50.033333	-122.533333	213	7.2	17.7	-3.6	21.3	1062	241	16.2	73.6	424	1769	4008	92	209	138	276	139	268	-29.5	37.3	11.8	741	362	62
HARB26_2	HARB	50.033333	-122.533333	213	7.2	17.7	-3.6	21.3	1062	241	16.2	73.6	424	1769	4008	92	209	138	276	139	268	-29.5	37.3	11.8	741	362	62
HARB26_3	HARB	50.033333	-122.533333	213	7.2	17.7	-3.6	21.3	1062	241	16.2	73.6	424	1769	4008	92	209	138	276	139	268	-29.5	37.3	11.8	741	362	62
HARB26_4	HARB	50.033333	-122.533333	213	7.2	17.7	-3.6	21.3	1062	241	16.2	73.6	424	1769	4008	92	209	138	276	139	268	-29.5	37.3	11.8	741	362	62
HARB26_5	HARB	50.033333	-122.533333	213	7.2	17.7	-3.6	21.3	1062	241	16.2	73.6	424	1769	4008	92	209	138	276	139	268	-29.5	37.3	11.8	741	362	62
HARC26_1	HARC	49.766667	-122.216667	64	8.6	17.7	-0.1	17.9	1632	362	11.4	48.9	215	1878	3531	95	253	121	295	175	173	-23.3	36.5	10.5	693	183	69
HARC26_2	HARC	49.766667	-122.216667	64	8.6	17.7	-0.1	17.9	1632	362	11.4	48.9	215	1878	3531	95	253	121	295	175	173	-23.3	36.5	10.5	693	183	69
HARC26_3	HARC	49.766667	-122.216667	64	8.6	17.7	-0.1	17.9	1632	362	11.4	48.9	215	1878	3531	95	253	121	295	175	173	-23.3	36.5	10.5	693	183	69
HARC26_5	HARC	49.766667	-122.216667	64	8.6	17.7	-0.1	17.9	1632	362	11.4	48.9	215	1878	3531	95	253	121	295	175	173	-23.3	36.5	10.5	693	183	69
HAZH10_1	HAZH	55.216667	-127.666667	238	4.3	15.3	-8.5	23.8	583	253	24.5	60.3	844	1285	5013	32	174	148	265	117	193	-37.6	33.7	8.9	573	260	63
HAZH10_2	HAZH	55.216667	-127.666667	238	4.3	15.3	-8.5	23.8	583	253	24.5	60.3	844	1285	5013	32	174	148	265	117	193	-37.6	33.7	8.9	573	260	63
HAZH10_3	HAZH	55.216667	-127.666667	238	4.3	15.3	-8.5	23.8	583	253	24.5	60.3	844	1285	5013	32	174	148	265	117	193	-37.6	33.7	8.9	573	260	63
HAZH10_5	HAZH	55.216667	-127.666667	238	4.3	15.3	-8.5	23.8	583	253	24.5	60.3	844	1285	5013	32	174	148	265	117	193	-37.6	33.7	8.9	573	260	63
HIRD12_2	HIRD	54.066667	-128.45	335	4.8	14.5	-4.8	19.3	2350	496	6.3	29.3	560	1153	4801	28	190	146	276	130	826	-31.4	32.6	9.7	510	57	70
HIXN16_1	HIXN	53.4	-122.633333	518	4.4	16	-9.1	25.1	572	282	25.2	56.9	882	1383	4970	40	166	150	258	108	176	-39.7	34.8	11.1	636	271	58
HIXN16_5	HIXN	53.4	-122.633333	518	4.4	16	-9.1	25.1	572	282	25.2	56.9	882	1383	4970	40	166	150	258	108	176	-39.7	34.8	11.1	636	271	58
HOMA21_1	HOMA	50.933333	-124.85	46	8.2	16.5	0.5	15.9	1765	404	10.3	40.7	201	1707	3634	60	248	119	291	171	164	-23.2	35	-9999	668	131	68
HOMA21_2	HOMA	50.933333	-124.85	46	8.2	16.5	0.5	15.9	1765	404	10.3	40.7	201	1707	3634	60	248	119	291	171	164	-23.2	35	-9999	668	131	68
HOMA21_4	HOMA	50.933333	-124.85	46	8.2	16.5	0.5	15.9	1765	404	10.3	40.7	201	1707	3634	60	248	119	291	171	164	-23.2	35	-9999	668	131	68
HOMA21_5	HOMA	50.933333	-124.85	46	8.2	16.5	0.5	15.9	1765	404	10.3	40.7	201	1707	3634	60	248	119	291	171	164	-23.2	35	-9999	668	131	68
HOMB21_1	HOMB	50.95	-124.9	37	8.4	16.7	0.7	16	1728	392	10.6	42.6	191	1755	3568	66	259	111	295	184	149	-22.1	35.1	12	652	129	70
HOMB21_2	HOMB	50.95	-124.9	37	8.4	16.7	0.7	16	1728	392	10.6	42.6	191	1755	3568	66	259	111	295	184	149	-22.1	35.1	11.9	652	129	70
HOMB21_3	HOMB	50.95	-124.9	37	8.4	16.7	0.7	16	1728	392	10.6	42.6	191	1755	3568	66	259	111	295	184	149	-22.1	35.1	11.9	652	129	70
HOMB21_5	HOMB	50.95	-124.9	37	8.4	16.7	0.7	16	1728	392	10.6	42.6	191	1755	3568	66	259	111	295	184	149	-22.1	35.1	11.9	652	129	70
HOMC21_1	HOMC	51.233333	-124.95	88	6.5	15.8	-3.2	19	1391	282	11.8	56	414	1488	4226	42	178	150	265	115	344	-33.8	36.3	8.2	715	305	54
HOMC21_2	HOMC	51.233333	-124.95	88	6.5	15.8	-3.2	19	1391	282	11.8	56	414	1488	4226	42	178	150	265	115	344	-33.8	36.3	8.2	715	305	54
HOMC21_3	HOMC	51.233333	-124.95	88	6.5	15.8	-3.2	19	1391	282	11.8	56	414	1488	4226	42	178	150	265	115	344	-33.8	36.3	8.2	715	305	54
HOMD21_1	HOMD	51.283333	-124.833333	152	5.5	15.8	-5.8	21.6	934	194	16.6	81.6	615	1439	4555	41	159	159	255	96	334	-38.4	37	9.7	721	420	51
HOMD21_2	HOMD	51.283333	-124.833333	152	5.5	15.8	-5.8	21.6	934	194	16.6	81.6	615	1439	4555	41	159	159	255	96	334	-38.4	37	9.7	721	420	51
HOMD21_3	HOMD	51.283333	-124.833333	152	5.5	15.8	-5.8	21.6	934	194	16.6	81.6	615	1439	4555	41	159	159	255	96	334	-38.4	37	9.7	721	420	51
HOMD21_4	HOMD	51.283333	-124.833333	152	5.5	15.8	-5.8	21.6	934	194	16.6	81.6	615	1439	4555	41	159	159	255	96	334	-38.4	37	9.7	721	420	51
HOMD21_5	HOMD	51.283333	-124.833333	152	5.5	15.8	-5.8	21.6	934	194	16.6	81.6	615	1439	4555	41	159	159	255	96	334	-38.4	37	9.7	721	420	51
HOPF27_1	HOPF	49.433333	-121.433333	61	9	17.8	-0.1	17.9	1434	260	13.2	68.7	197	1989	3387	106	262	112	298	186	145	-23.3	36.1	11.8	694	255	70
HOPF27_2	HOPF	49.433333	-121.433333	61	9	17.8	-0.1	17.9	1434	260	13.2	68.7	197	1989	3387	106	262	112	298	186	145	-23.3	36.1	11.8	694	255	70
HOPF27_3	HOPF	49.433333	-121.433333	61	9	17.8	-0.1	17.9	1434	260	13.2	68.7	197	1989	3387	106	262	112	298	186	145	-23.3	36.1	11.8	694	255	70
HOPF27_4	HOPF	49.433333	-121.433333	61	9	17.8	-0.1	17.9	1434	260	13.2	68.7	197	1989	3387	106	262	112	298	186	145	-23.3	36.1	11.8	694	255	70
HOPF27_5	HOPF	49.433333	-121.433333	61	9	17.8	-0.1	17.9	1434	260	13.2	68.7	197	1989	3387	106	262	112	298	186	145	-23.3	36.1	11.8	694	255	70
HOPG27_1	HOPG	49.4	-121.55	500	6.7	15.5	-1.6	17.1	2129	471	7.9	32.8	316	1429	4128	36	222	131	284	153	395	-26.7	33.7	12.5	616	66	69
HOPG27_2	HOPG	49.4	-121.55	500	6.7	15.5	-1.6	17.1	2129	471	7.9	32.8	316	1429	4128	36	222	131	284	153	395	-26.7	33.7	12.5	616	66	69
HOPG27_3	HOPG	49.4	-121.55	500	6.7	15.5	-1.6	17.1	2129	471	7.9	32.8	316	1429	4128	36	222	131	284	153	395	-26.7	33.7	12.5	616	66	69
HOPG27_5	HOPG	49.4	-121.55	500	6.7	15.5	-1.6	17.1	2129	471	7.9	32.8	316	1429	4128	36	222	131	284	153	395	-26.7	33.7	12.5	616	66	69
HRSO27_1	HRSO	49.283333	-121.95	40	9.7	17.8	1.7	16.1	1785	361	11	49.2	137	2091	3140	109	284	102	305	204	100	-19.9	36	12.2	702	168	71
HRSO27_2	HRSO	49.283333	-121.95	40	9.7	17.8	1.7	16.1	1785	361	11	49.2	137	2091	3140	109	284	102	305	204	100	-19.9	36	12.2	702	168	71
HRSO27_4	HRSO	49.283333	-121.95	40	9.7	17.8	1.7	16.1	1785	361	11	49.2	137	2091	3140	109	284	102	305	204	100	-19.9	36	12.2	702	168	71
HRSO27_5	HRSO	49.283333	-121.95	40	9.7	17.8	1.7	16.1	1785	361	11	49.2	137	2091	3140	109	284	102	305	204	100	-19.9	36	12.2	702	168	71
HRSP27_1	HRSP	49.233333	-121.85	30	9.8	17.9	1.7	16.2	1634	369	12.1	48.4	133	2129	3094	116	284	102	305	203	84	-20	36.2	12.2	714	164	70
HRSP27_3	HRSP	49.233333	-121.85	30	9.8	17.9	1.7	16.2	1634	369	12.1	48.4	133	2129	3094	116	284	102	305	203	84	-20	36.2	12.2	714	164	70
HRSP27_4	HRSP	49.233333	-121.85	30	9.8	17.9	1.7	16.2	1634	369	12.1	48.4	133	2129	3094	116	284	102	305	203	84	-20	36.2	12.2	714	164	70
IRVC07_1	IRVC	56.733333	-129.733333	579	1.6	12.7	-10.4	23.1	867	325	13.3	39	1199	832	5983	15	135	173	251	79	422	-40.7	30.4	9.3	479	159	63
IRVC07_4	IRVC	56.733333	-129.733333	579	1.6	12.7	-10.4	23.1	867	325	13.3	39	1199	832	5983	15	135	173	251	79	422	-40.7	30.4	9.3	479	159	63
IRVC07_5	IRVC	56.733333	-129.733333	579	1.6	12.7	-10.4	23.1	867	325	13.3	39	1199	832	5983	15	135	173	251	79	422	-40.7	30.4	9.3	479	159	63
IRVC07_6	IRVC	56.733333	-129.733333	579	1.6	12.7	-10.4	23.1	867	325	13.3	39	1199	832	5983	15	135	173	251	79	422	-40.7	30.4	9.3	479	159	63
IRVD07_4	IRVD	56.85	-129.616667	677	1.1	12.3	-11.2	23.4	653	251	17	48.9	1289	774	6149	13	132	173	250	77	329	-42.1	30.2	9.5	462	207	63
ISKA06_1	ISKA	56.7	-131.15	73	4	14.2	-7.9	22.1	1479	432	9.4	32.9	783	1126	5113	27	188	136	273	137	587	-35	30.8	9	456	108	71
ISKA06_2	ISKA	56.7	-131.15	73	4	14.2	-7.9	22.1	1479	432	9.4	32.9	783	1126	5113	27	188	136	273	137	587	-35	30.8	9	456	108	71
