Genotype	Year	Provenance	Deme	Genetics	Population	Latitude	Longitude	Elevation	Height	Volume	Growth.rate	H.D	Amax	Amax.mass	LMAsummer	deltaleaf	delta15N	gs	C.N	Narea	Nmass	NUE	WUE	Growth.period	Budset	Canopy.duration	Leaf.drop	Post.budset.period	fitness
ALSC01_4	2009	ALSC	North	0.291067063	1	59.62	137.92	107	37.5	13.2	0.16	35.6	25.52	0.314	0.08115	NA	1.739	0.5282	18.2	0.002134	0.02623	12.08	3.72	143	187	246.8	290.1	103.8	17.5
ALSC01_5	2009	ALSC	North	0.298517133	1	59.62	137.92	107	29	3.3	0.13	46	25.05	0.2809	0.08918	NA	1.663	0.5088	18.65	0.002225	0.02495	11.26	3.766	105	173	214.3	283	109.3	12
TATB01_4	2009	TATB	North	0.298583706	1	59.43	137.83	34	46.3	15	0.14	47.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	127.3	185.3	232	290	104.8	17.5
TATB01_7	2009	TATB	North	0.297901119	1	59.43	137.83	34	51	26.4	0.26	37.8	19.29	0.2533	0.07623	21.88	1.698	0.4684	21.03	0.001639	0.02152	11.77	3.165	108	194	226.5	302	118.5	29
NKND03_2	2009	NKND	North	0.293321469	3	58.93	133.18	122	66.3	16.2	0.29	70	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	152	183.5	254	285.5	102	43.8
TAKA03_3	2009	TAKA	North	0.295230769	3	NA	NA	NA	245	805	1.03	81.2	17.39	0.2132	0.08234	18.76	1.272	0.3415	21.67	0.001836	0.0224	9.6	3.786	167	243.3	255.7	332	88.7	169.2
TAKB03_3	2009	TAKB	North	0.290605105	3	58.7	133.4	49	86.5	47.3	0.35	64.3	25.23	0.2928	0.08656	NA	2.404	0.5141	19.11	0.002126	0.02462	11.88	3.8	144.8	209.8	254.8	316.3	110	52.2
TAKB03_4	2009	TAKB	North	0.289146853	3	58.7	133.4	49	71.5	28.7	0.3	62.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	150	194	246.5	290.5	96.5	43.7
TAKB03_5	2009	TAKB	North	0.288346503	3	58.7	133.4	49	81.5	40.9	0.36	64.3	21.05	0.2989	0.07041	NA	0.811	0.4496	19.94	0.001613	0.02291	13.04	3.604	155.8	210.3	258	308.5	102.3	61
STKG04_4	2009	STKG	North	0.288335664	4	57.95	129.67	732	97	65.3	0.4	72.8	18.72	0.1996	0.09861	NA	2.458	0.3818	27.82	0.001945	0.02126	10.25	3.623	165.3	194	261	298	95.8	59.7
TNZA04_1	2009	TNZA	North	0.297244336	4	NA	NA	NA	210	499.4	0.75	84.4	15.99	0.2325	0.0707	20.22	0.778	0.3041	21.87	0.001709	0.02496	9.52	3.906	208.5	247.3	287.3	326	78.8	153.7
STKD05_1	2009	STKD	North	0.288330699	5	57.33	131.78	49	77.3	22.2	0.4	74.4	22.36	0.3336	0.06798	NA	2.658	0.6662	22.31	0.00142	0.02108	15.72	2.717	168.7	225.8	266	304.3	97.3	51.6
STKD05_3	2009	STKD	North	0.285399091	5	57.33	131.78	49	110.8	84	0.44	73.2	22.13	0.2438	0.09107	NA	3.223	0.4976	19.38	0.00224	0.02497	10.04	3.426	175	216.3	275.8	312.3	100.8	82.3
STKE05_3	2009	STKE	North	0.298594196	5	57.52	131.78	61	125	50.1	0.47	103.2	22.14	0.251	0.08877	NA	3.481	0.4993	15.49	0.0027	0.03048	8.23	3.638	196.7	217.3	280	300.7	83.3	91.7
STKF05_1	2009	STKF	North	0.295575175	5	57.65	131.57	85	99.8	47.8	0.54	75.8	26.39	0.266	0.10098	NA	2.24	0.6642	19.41	0.002428	0.02438	10.8	3.351	136	197.5	225.3	285	89.3	71.5
FKRB06_1	2009	FKRB	North	0.290348601	6	NA	NA	NA	68.3	25.7	0.27	60.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	164	194	261.5	295	97.5	47.5
ISKA06_1	2009	ISKA	North	0.297203077	6	56.7	131.15	73	76.3	20.9	0.29	78.2	20.9	0.2479	0.08852	NA	1.779	0.5541	23.52	0.001803	0.02127	11.62	3.023	130	190.5	255.8	304	125.8	37.8
ISKA06_2	2009	ISKA	North	0.292119301	6	56.7	131.15	73	91.3	33.8	0.41	80.4	22.77	0.3387	0.06721	NA	3.143	0.4519	21.14	0.001508	0.02244	15.09	3.882	173	211.5	275.3	313.8	102.3	66
ISKA06_4	2009	ISKA	North	0.288346154	6	56.7	131.15	73	95	30.1	0.24	86.4	23.6	0.2828	0.08344	NA	3.114	0.6101	21.78	0.001805	0.02164	13.07	3.083	185	236	283	306	98	45
ISKA06_5	2009	ISKA	North	0.288546434	6	56.7	131.15	73	54.3	17.1	0.24	56.3	24.03	0.3401	0.07066	NA	2.961	0.5979	16.64	0.002043	0.02892	11.76	3.22	137.8	201	241.8	298	104	38.3
ISKC06_1	2009	ISKC	North	0.296186154	6	56.93	130.33	317	90.8	32.4	0.27	85.1	22.45	0.2751	0.08315	NA	2.275	0.548	18.91	0.002119	0.02571	10.52	3.306	185	222	283.9	308.6	98.9	50.8
ISKC06_3	2009	ISKC	North	0.285701958	6	56.93	130.33	317	47.5	6.3	0.01	71.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	113.5	173	228.5	288	115	11.7
ISKC06_5	2009	ISKC	North	0.295785455	6	56.93	130.33	317	151.3	104	0.77	104	22.64	0.2882	0.07881	NA	2.661	0.4857	18.99	0.002061	0.02589	11.61	3.725	162.3	234.3	218.5	290.5	56.3	126
IRVC07_1	2009	IRVC	North	0.287128811	7	56.73	129.73	579	63.5	11.4	0.22	85.8	26.91	0.3492	0.07705	NA	2.676	0.5073	15.7	0.002377	0.03085	11.32	4.106	178	183.5	282	303.3	104	13.5
IRVC07_5	2009	IRVC	North	0.282307902	7	56.73	129.73	579	25.5	3.8	0.1	40.4	18.75	0.1931	0.10279	19.44	1.612	0.4125	22.67	0.002272	0.02423	8.38	3.4	87	184.7	212.5	298.5	125.5	8.7
IRVC07_6	2009	IRVC	North	0.294137203	7	56.73	129.73	579	56	15.8	0.28	55.6	21.86	0.2936	0.07615	22.39	2.065	0.5262	17.33	0.002037	0.02699	10.78	3.28	125.5	183.5	242	300	116.5	35.6
IRVD07_4	2009	IRVD	North	0.294692308	7	56.85	129.62	677	92.3	36.5	0.43	77.6	24.3	0.3375	0.07225	NA	2.204	0.5239	19.67	0.001733	0.02401	14.21	3.616	151.8	194	243.3	285.5	91.5	66.2
TRTB07_5	2009	TRTB	North	0.283191678	7	56.57	129.82	640	52.8	15.5	0.23	50	20.7	0.2387	0.08672	NA	2.901	0.5272	23.6	0.001703	0.01962	12.23	3.063	119.5	195.8	230	306.3	110.5	29.3
TRTB07_6	2009	TRTB	North	0.294660909	7	56.57	129.82	640	69.8	42.9	0.32	53	21.43	0.2801	0.07792	NA	1.921	0.4009	18.19	0.001911	0.02484	11.17	4.018	120.5	210.3	242	312	121.5	38
TRTB07_7	2009	TRTB	North	0.283735524	7	56.57	129.82	640	43.8	11	0.15	47.3	23.92	0.2947	0.08115	19.39	2.266	0.4454	18.24	0.002063	0.02543	11.59	4.077	126.8	180	236.5	288	109.8	18
