Genotype	Year	Provenance	Deme	Genetics	Population	Latitude	Longitude	Elevation	Height	Volume	Growth.rate	H.D	Amax	Amax.mass	LMAsummer	deltaleaf	delta15N	gs	C.N	Narea	Nmass	NUE	WUE	Growth.period	Budset	Canopy.duration	Leaf.drop	Post.budset.period	fitness
NASC08_2	2009	NASC	North	0.288484825	8	55.05	129.5	24	135.5	98.2	0.46	81.9	21.4	0.2514	0.085	21.34	1.268	0.4813	18.13	0.002172	0.02549	9.86	3.402	185	213.3	275.8	304	90.8	88.5
NASC08_5	2009	NASC	North	0.283838252	8	55.05	129.5	24	102.7	28.4	0.29	107.2	21.54	0.2859	0.07995	NA	1.989	0.4191	20.12	0.001594	0.02121	10.81	4.325	196.7	224.3	283.7	311.3	87	66.4
NASD08_2	2009	NASD	North	0.292684755	8	55.22	129.13	58	123.7	104.7	0.79	100.7	22.55	0.319	0.07115	19.63	1.996	0.5886	18.93	0.001782	0.02492	12.94	3.088	220	243	283	309	63	63.7
NASD08_4	2009	NASD	North	0.281543217	8	55.22	129.13	58	98.5	47.5	0.54	81.5	22.25	0.2845	0.0782	NA	1.214	0.4187	17.49	0.002052	0.02625	11.04	3.981	153.8	222	233.8	302	80	82.7
NASD08_5	2009	NASD	North	0.281692448	8	55.22	129.13	58	143.8	111.4	0.52	89.3	23.5	0.2553	0.09284	22.41	1.128	0.5024	20.66	0.002126	0.02316	11.1	3.622	186.8	218.5	260.8	292.5	74	94.8
NASF08_2	2009	NASF	North	0.280465035	8	55.57	128.78	152	124	109	0.41	80.1	19.26	0.2222	0.08664	20.52	1.778	0.437	21.04	0.001977	0.0228	9.83	3.334	196.7	217.3	290	304	93.3	56.3
NASH08_1	2009	NASH	North	0.293885944	8	55.72	128.82	183	105.3	42.6	0.49	85.1	21.89	0.2715	0.08104	NA	1.693	0.5341	21.68	0.001789	0.02219	12.29	3.241	175.5	218.5	261	304	85.5	87.3
NASH08_4	2009	NASH	North	0.274575524	8	55.72	128.82	183	104.7	50.4	0.43	82.5	22.57	0.2597	0.08598	21.99	2.324	0.4361	19.82	0.001986	0.02298	11.28	3.93	166.3	210.3	256.7	300.7	90.3	75
NASH08_5	2009	NASH	North	0.298208531	8	NA	NA	NA	229	307.9	0.86	108.8	18.92	0.2632	0.07186	19.24	0.651	0.3785	20.35	0.001678	0.02335	11.26	3.767	182.3	250.5	255.8	324	73.5	157.2
KSPA09_3	2009	KSPA	North	0.292263636	9	55.77	128.53	518	47.5	10.6	0.15	55.3	13.42	0.1296	0.10361	20.35	2.902	0.3398	NA	0.001205	0.01163	11.14	2.882	141.5	173	264	295.5	122.5	21.1
CDRE10_1	2009	CDRE	North	0.280952517	10	55.02	128.33	152	121.5	54.5	0.54	110	25.76	0.2728	0.0959	NA	0.866	0.584	19.73	0.002322	0.02394	11.45	3.46	164	249.5	257.7	304.3	93.7	92.8
CDRE10_3	2009	CDRE	North	0.293285385	10	55.02	128.33	152	100.8	50.6	0.49	86.5	25.28	0.3143	0.08246	18.32	2.086	0.5299	18.72	0.002014	0.02432	12.99	3.79	151.8	215	241	304.3	89.3	74.5
CEDA10_2	2009	CEDA	North	0.282030839	10	54.95	128.92	274	105.5	46.4	0.37	83.9	NA	NA	NA	22.07	NA	NA	NA	NA	NA	NA	NA	171	194	276.5	299.5	105.5	63.5
CEDA10_4	2009	CEDA	North	0.284998881	10	54.95	128.92	274	134.5	73.2	0.57	93.7	18.75	0.2346	0.08011	NA	2.501	0.519	23.31	0.001619	0.02011	11.79	2.849	174.5	227.3	246.8	299.5	72.3	99
HAZH10_1	2009	HAZH	North	0.291842587	10	55.22	127.67	238	149.5	77	0.65	111.3	21.39	0.2187	0.0959	NA	1.181	0.5331	23.51	0.002006	0.02031	10.94	3.138	181.5	230.8	256.8	306	75.3	115
HAZH10_2	2009	HAZH	North	0.284931329	10	55.22	127.67	238	169	121.7	0.83	113	22.67	0.2916	0.07945	NA	1.855	0.5399	18.84	0.001955	0.02459	11.98	3.392	169	238.3	222	291.3	53	143.7
HAZH10_3	2009	HAZH	North	0.28545014	10	55.22	127.67	238	153.5	75.8	0.54	115	20.68	0.2559	0.08148	NA	1.088	0.4074	18.99	0.002053	0.02585	10.21	3.822	192	218.5	264	290.5	72	105.5
HAZH10_5	2009	HAZH	North	0.297115664	10	55.22	127.67	238	129.8	89.8	0.52	91.9	28.59	0.2972	0.09656	21.8	2.052	0.66	18.13	0.002527	0.02624	11.34	3.604	178	216.8	279.7	310.5	101.7	88.1
KTSG10_5	2009	KTSG	North	0.280223357	10	55.1	127.92	213	125	56.7	0.53	99.1	21.2	0.2645	0.08016	21.53	0.838	0.3755	19.73	0.001932	0.02419	10.98	4.378	169.3	213.3	262.3	306.3	93	87.5
KTWF10_3	2009	KTWF	North	0.294208951	10	NA	NA	NA	289.3	849.6	0.89	96.2	17.97	0.2506	0.07186	19.91	3.186	0.3406	20.87	0.001566	0.02183	11.52	3.877	228	258	296	326	68	200
SKNB10_1	2009	SKNB	North	0.282118392	10	54.68	128.38	122	140.4	86.7	0.53	94.2	21.63	0.223	0.09941	20.59	1.253	0.4739	21.63	0.002186	0.02237	10.12	3.516	176.3	224.6	258.9	306.4	82.6	95
SKNB10_2	2009	SKNB	North	0.279237762	10	54.68	128.38	122	108	44	0.23	91.8	20.6	0.2457	0.08617	NA	2.496	0.4157	24.21	0.001711	0.02019	11.89	3.728	178.3	226.7	255.3	299	77	44
SKNC10_1	2009	SKNC	North	0.281158042	10	54.77	128.27	122	110	38.3	0.32	97.9	24.56	0.2984	0.08257	19.99	1.462	0.4226	17.79	0.002149	0.0262	11.43	4.428	150	215	240.3	300	90.3	46.5
SKNC10_2	2009	SKNC	North	0.279586993	10	54.77	128.27	122	172.8	141.7	0.56	108.9	23.93	0.2896	0.08525	NA	0.857	0.4583	20.37	0.00199	0.02391	12.07	4.04	201	237.8	269.5	306.3	68.5	114
SKNC10_4	2009	SKNC	North	0.286471818	10	54.77	128.27	122	147.3	58.9	0.68	130.1	21.97	0.2369	0.09276	NA	2.891	0.5052	20.85	0.002114	0.0228	10.45	3.398	164.5	225.5	248.4	309.4	83.9	108.4
SKND10_2	2009	SKND	North	0.29572951	10	NA	NA	NA	261.5	973.4	1.08	78.9	19.03	0.2452	0.07721	20.56	1.87	0.3638	20.87	0.001799	0.02321	10.62	3.976	175.8	256.3	258.3	338.8	82.5	188.7
SKNL10_1	2009	SKNL	North	0.287211329	10	54.45	128.75	61	139.5	95.4	0.63	87.6	19.6	0.2048	0.0968	21.92	2.419	0.3987	25.12	0.001815	0.0189	10.79	3.679	144.8	208	243	306.3	98.3	91.2
SKNL10_3	2009	SKNL	North	0.276983706	10	54.45	128.75	61	174.7	121	0.55	109.1	21.06	0.2333	0.09205	18.63	1.399	0.3986	23.46	0.001856	0.02065	11.38	4.046	215.3	238.3	289.5	312.5	79	109.3
SKNL10_4	2009	SKNL	North	0.286056084	10	54.45	128.75	61	103	44.7	0.43	89.4	20.92	0.2219	0.09344	NA	2.444	0.3993	24.64	0.001852	0.01957	11.46	4.076	142.3	206.3	250.3	314.3	108	63.2
SKNM10_1	2009	SKNM	North	0.279638182	10	54.4	128.98	43	125	81.8	0.54	100.2	20.74	0.2146	0.09656	NA	1.503	0.4599	22.86	0.002019	0.0209	10.22	3.452	185	222	266.3	303.3	81.3	71.7
SKNM10_2	2009	SKNM	North	0.296222308	10	54.4	128.98	43	124.3	42.1	0.53	112.7	23.6	0.2277	0.10601	NA	1.878	0.4819	23.56	0.002188	0.02115	10.86	3.818	189.7	236	264.7	310.3	75	93
SKNM10_3	2009	SKNM	North	0.285902238	10	54.4	128.98	43	142.8	71.8	0.48	109	19.84	0.2099	0.09529	NA	2.352	0.3937	25.99	0.001776	0.01871	11.26	3.998	190.3	216.8	277.8	304.3	87.5	92.3
SKNN10_2	2009	SKNN	North	0.303538671	10	NA	NA	NA	255.8	741.6	0.98	79	18.39	0.2468	0.07672	18.71	2.014	0.3323	16.32	0.002272	0.03011	8.18	4.122	211.5	258	286.8	333.3	75.3	201.5
SKNN10_3	2009	SKNN	North	0.274046294	10	54.28	129.37	30	158	86.8	0.68	112.8	22.32	0.2305	0.09694	NA	1.897	0.439	21.09	0.002182	0.02254	10.28	3.878	192	234.3	256.7	302	64.7	122.3
SKNN10_4	2009	SKNN	North	0.28143042	10	54.58	128.42	61	115	105.1	0.5	76	23.22	0.2432	0.09481	20.28	1.866	0.4743	21.44	0.002101	0.02223	11.13	3.762	154.7	210.3	244	298.5	89.3	58.1
SKNN10_5	2009	SKNN	North	0.281558531	10	54.28	129.37	30	155	125.9	0.65	92	20.51	0.224	0.09186	20.82	1.047	0.4539	22.32	0.001998	0.02173	10.39	3.432	173	225.5	271.8	324.3	98.8	112.9
SKNO10_2	2009	SKNO	North	0.283791958	10	54.22	129.53	21	171	151.5	0.63	103	27.21	0.2812	0.09809	17.67	1.912	0.5425	19.2	0.002446	0.02526	11.14	4.042	192.3	229	269.5	306.3	77.3	120
SKNO10_3	2009	SKNO	North	0.29502035	10	54.22	129.53	21	135.3	88.3	0.6	94.3	22.05	0.2904	0.08426	18.32	1.925	0.428	25.03	0.001585	0.01862	11.62	3.933	154.5	225.5	237.3	308.3	82.8	93.3
SKNO10_4	2009	SKNO	North	0.28197972	10	54.22	129.53	21	117.8	55.9	0.25	95.7	20.95	0.2496	0.08484	NA	2.014	0.5396	25.69	0.001523	0.01804	13.82	3.035	164	222	278.5	322.3	114.5	39.3
SKNP10_11	2009	SKNP	North	0.281589441	10	54.55	128.47	61	155.5	126.7	0.59	91.1	22.84	0.3232	0.07087	NA	1.877	0.4628	18.14	0.001848	0.02611	12.4	3.77	174.5	230.8	245.8	302	71.3	102.7
SKNP10_3	2009	SKNP	North	0.276367552	10	54.55	128.47	61	146.8	120.2	0.49	88.4	25.96	0.2805	0.09225	NA	1.283	0.5142	18.62	0.002427	0.02625	10.86	3.955	204.3	227.3	282.3	303.5	78	100.7
SKNP10_4	2009	SKNP	North	0.291082657	10	54.55	128.47	61	160	176.3	0.59	86	24.32	0.2732	0.08906	NA	1.779	0.4366	20.22	0.002108	0.0237	11.53	4.209	199	223.8	289.5	314.3	90.5	118
SKNP10_8	2009	SKNP	North	0.303645944	10	NA	NA	NA	237.8	670.5	0.79	78	16.95	0.2515	0.06792	NA	1.329	0.4171	17.95	0.001805	0.02657	9.45	3.066	219	252.5	296	329.5	77	174
SKNP10_9	2009	SKNP	North	0.271330909	10	54.55	128.47	61	180.8	159	0.7	104.3	25.51	0.2733	0.08858	22.16	0.686	0.5141	19.78	0.002162	0.02446	11.2	3.775	164.3	237.8	249.3	310.5	85	118.8
SKNQ10_3	2009	SKNQ	North	0.284433636	10	54.58	128.42	61	181.8	241.5	0.68	86.7	21.59	0.2747	0.07943	NA	1.961	0.417	18.75	0.002039	0.02572	10.62	3.88	199	230.8	268.3	300	69.3	137.3
SKNR10_1	2009	SKNR	North	0.280634545	10	54.68	128.35	244	104.5	45.9	0.32	83	23.6	0.3188	0.07612	NA	1.999	0.5654	19.8	0.001787	0.02353	13.5	3.367	192	223.8	268.3	300	76.3	62.7
ZYMJ10_1	2009	ZYMJ	North	0.293757552	10	54.47	127.93	305	120.3	77.5	0.42	79.2	19.19	0.2173	0.08863	20.61	1.443	0.4563	20.41	0.002109	0.0235	9.43	3.186	178	208	270	300	92	80.3
ZYMJ10_5	2009	ZYMJ	North	0.286513007	10	54.47	127.93	305	122.8	59.6	0.38	91.5	16.03	0.1878	0.08967	21.12	2.531	0.3087	30.11	0.00144	0.01686	11.33	3.842	181.8	223.8	268.3	310.3	86.5	69.8
BULA11_4	2009	BULA	North	0.288402867	11	55.25	127.5	311	184.9	130.1	0.89	123.7	22.04	0.2896	0.07611	NA	2.429	0.5579	17.36	0.002078	0.02729	10.65	3.151	171.5	225.5	242.8	296.8	71.3	155.5
BULB11_1	2009	BULB	North	0.28657958	11	55.12	127.35	427	100.9	51.4	0.33	75.8	23.54	0.3038	0.07762	NA	1.431	0.5917	19.61	0.001869	0.02402	12.85	3.223	174	205.7	264.9	294.9	90.9	61.8
BULF11_2	2009	BULF	North	0.282107692	11	54.55	126.83	561	124.9	60.4	0.55	107.1	22.64	0.2918	0.0818	21.05	1.731	0.4987	19.93	0.001935	0.02458	11.85	3.445	165.4	225	245.6	300	80.1	83.3
BULF11_3	2009	BULF	North	0.287154825	11	54.55	126.83	561	92.3	24.5	0.28	97.2	26	0.328	0.07934	21.59	2.464	0.6061	15.98	0.002277	0.02895	11.36	3.432	169.3	233.1	238.4	293	69.1	47.3
BULF11_4	2009	BULF	North	0.287904615	11	54.55	126.83	561	104.4	34.7	0.27	95.5	20.77	0.2469	0.08437	NA	1.453	0.4598	22.73	0.001787	0.02127	11.58	3.493	168	209	266.4	306.4	98.4	42
BULF11_5	2009	BULF	North	0.277163497	11	54.55	126.83	561	147	78.9	0.35	106.3	21.92	0.2425	0.09066	NA	1.148	0.4243	18.46	0.002409	0.02683	9.31	3.972	185	216.8	274.5	306.3	89.5	65.9
BULG11_2	2009	BULG	North	0.284773077	11	54.45	126.8	579	118.8	60.6	0.45	89.7	25.32	0.3766	0.06738	NA	2.065	0.4884	15.84	0.002051	0.0305	12.33	3.981	185	216.8	268.3	300	83.3	83
BULG11_4	2009	BULG	North	0.29612965	11	54.45	126.8	579	143.3	61.3	0.47	114.9	19.57	0.2528	0.0788	NA	1.704	0.4751	20.1	0.00184	0.02341	10.81	3.131	211.3	234.3	270	293	58.8	98.3
BULG11_5	2009	BULG	North	0.289624965	11	54.45	126.8	579	101.5	25.6	0.42	109.1	26.09	0.2897	0.08861	20.46	2.261	0.6791	18.42	0.002302	0.02573	11.21	3.077	164	239.5	227.7	290.5	63.7	64.5
TLKH11_1	2009	TLKH	North	0.290225594	11	54.67	127.12	567	130.8	67.5	0.47	94.4	23.58	0.2758	0.08549	NA	1.973	0.5659	22.31	0.001861	0.02178	12.67	3.309	209.5	229	280.5	300	71	100.2
TLKH11_5	2009	TLKH	North	0.279915524	11	NA	NA	NA	296	1563.3	0.88	79.6	21.36	0.2654	0.08086	17.78	2.405	0.3707	19.28	0.002	0.0248	10.69	4.215	244.8	269.5	308.8	333.5	64	215.5
HIRD12_2	2009	HIRD	North	0.279745804	12	54.07	128.45	335	118.5	61.9	0.48	86.6	24.05	0.3147	0.07634	NA	2.239	0.6378	20.1	0.001806	0.02358	13.39	3.059	188.5	220.3	266.3	298	77.8	92.2
KTMA12_1	2009	KTMA	North	0.291467343	12	NA	NA	NA	191.5	380.9	0.68	75.3	19.81	0.2654	0.07454	19.96	1.751	0.3372	19.36	0.001827	0.02476	10.83	4.271	186.5	241.8	288.8	344	102.3	131
KTMA12_3	2009	KTMA	North	0.27991028	12	54.25	128.52	122	112.5	86.4	0.34	75.1	19.59	0.2298	0.08713	19.24	1.985	0.5004	25.38	0.001662	0.01938	11.61	3.056	190.3	211.5	289	310.3	98.8	65.2
KTMA12_4	2009	KTMA	North	0.293716084	12	NA	NA	NA	249	551.5	1.05	96.4	21.14	0.2885	0.07372	NA	1.887	0.4981	18.26	0.001943	0.02622	11.09	3.262	173.5	248.8	250.5	325.8	77	184
KTMA12_5	2009	KTMA	North	0.287381049	12	54.25	128.52	122	56.5	12.3	0.42	65	23.22	0.291	0.08049	19.29	0.976	0.5437	24.05	0.001588	0.0201	14.76	3.357	139.5	212.7	236	305.3	96.5	46
KTMB12_5	2009	KTMB	North	0.294697413	12	54.15	128.58	61	93	23.6	0.53	100.8	18.8	0.243	0.07738	NA	2.64	0.4619	15.11	0.002493	0.03222	7.54	3.256	160.5	218.5	244	311	83.5	64.3
KTMC12_1	2009	KTMC	North	0.287113706	12	54.05	128.68	18	262.5	1190.5	1.18	70.7	23.2	0.2693	0.08213	21.76	0.315	0.4555	21.23	0.001799	0.02191	12.3	3.93	248	253.5	307	322.5	59	127.5
KTMC12_2	2009	KTMC	North	0.278175315	12	54.05	128.68	18	152.3	263.7	0.77	88.4	19.52	0.2416	0.08071	NA	1.067	0.4359	19.06	0.001982	0.02451	9.93	3.397	192	236	262.3	308.5	70.3	110.6
KTMC12_3	2009	KTMC	North	0.299580559	12	NA	NA	NA	246	404.8	0.79	103.6	19.14	0.2311	0.08172	20.46	0.828	0.4039	24.41	0.001607	0.01979	11.78	3.606	200	259.8	270	329.8	70	156.4
KTMC12_5	2009	KTMC	North	0.289521818	12	54.05	128.68	18	128.5	78.2	0.38	87.9	23.02	0.2604	0.08721	NA	1.46	0.5276	22.57	0.001778	0.02035	12.82	3.387	200.8	220.3	290.8	310.3	90	78.5
WFSH13_6	2009	WFSH	North	0.287144615	13	54.6	124.77	686	108.5	44.1	0.48	96.7	19.7	0.2486	0.07926	19.14	1.257	0.5537	19.79	0.001911	0.02404	10.45	2.737	145.8	203.3	246.8	296.8	101	75.7
CHIL14_2	2009	CHIL	North	0.311465944	14	NA	NA	NA	311	1201.2	1.03	82.1	16.96	0.2097	0.0806	NA	1.019	0.4014	24.94	0.001525	0.01906	11.09	3.194	221	255.7	297.3	332	76.3	227
STEL14_1	2009	STEL	North	0.297834336	14	54.03	124.92	701	157.3	94.3	0.56	106.3	17.52	0.2181	0.08027	NA	1.397	0.2909	20.72	0.001842	0.02292	9.58	4.516	199	215	279	295	80	112.5
MCGR15_4	2009	MCGR	North	0.298480979	15	54.18	122	579	154	101.8	0.72	102.4	24.53	0.289	0.09197	NA	1.68	0.56	19.43	0.002207	0.02411	12.04	3.456	178	236	256.3	312.8	78.3	120
MCGR15_6	2009	MCGR	North	0.29324958	15	54.18	122	579	99.8	119.3	0.54	55.9	22.02	0.3187	0.06907	NA	1.908	0.4539	17.68	0.001836	0.02649	12.13	3.705	149.3	222	244	316.8	94.8	84.3
MCGR15_7	2009	MCGR	North	0.30684993	15	54.18	122	579	119.7	63	0.49	101.2	26.96	0.4041	0.06672	20.42	1.462	0.534	16.56	0.001888	0.02829	14.28	3.804	173.7	205.7	280	312	106.3	88.8
MCGR15_8	2009	MCGR	North	0.288628392	15	54.18	122	579	162.5	181.8	0.68	81.7	22.36	0.3322	0.06765	NA	1.551	0.5252	18.68	0.001634	0.02428	13.68	3.301	169.3	223.8	258.3	312.8	89	114
SHEL15_1	2009	SHEL	North	0.296022238	15	54.03	122.6	564	213.5	266.3	0.85	106.8	27.14	0.3265	0.08295	19.09	1.852	0.4904	15.56	0.002601	0.03113	10.55	4.403	193.8	237.8	272.3	316.3	78.5	166
SHEL15_2	2009	SHEL	North	0.296443287	15	54.03	122.6	564	252	501.2	0.81	94.1	22.51	0.3049	0.07471	19.78	1.022	0.4194	15.05	0.002367	0.03193	9.5	4.095	213	234.3	301	322.3	88	171.6
SHEL15_3	2009	SHEL	North	0.296037552	15	54.03	122.6	564	192	172.3	0.86	114.2	21.32	0.2525	0.08541	NA	2.349	0.3744	19.11	0.00206	0.0245	10.4	4.211	155.5	230.8	229	304.3	73.5	139.5
SHEL15_4	2009	SHEL	North	0.293265035	15	54.03	122.6	564	163.5	104.5	0.72	122.4	22.14	0.2682	0.08262	NA	2.348	0.4295	20.68	0.001907	0.02315	11.83	3.929	180	238	256.5	314.5	76.5	130
SHEL15_5	2009	SHEL	North	0.300344965	15	NA	NA	NA	269	727.4	0.94	93.1	19.19	0.2507	0.07852	NA	3.021	0.3513	22.24	0.001695	0.02205	11.37	4.016	206.3	259.8	270.5	324	64.3	189.2
SHEL15_6	2009	SHEL	North	0.297393427	15	54.03	122.6	564	194	259.5	0.66	88.6	23.95	0.2936	0.08287	18.81	1.758	0.3586	18.41	0.002179	0.02622	11.22	4.86	181.5	229	268.5	316	87	119
WLOW15_1	2009	WLOW	North	0.309746224	15	53.92	122.28	640	159.3	69.6	0.75	129.3	22.44	0.303	0.0747	20.22	1.771	0.4701	17.42	0.001984	0.02669	11.28	3.671	146.8	225.5	227.8	306.5	81	109.8
WLOW15_3	2009	WLOW	North	0.289223986	15	53.92	122.28	640	199.7	256.4	0.57	103.6	21.44	0.2426	0.08995	19.49	2.28	0.4422	18.84	0.002416	0.02715	9.2	3.697	196.7	226.7	279	309	82.3	117
WLOW15_4	2009	WLOW	North	0.304996853	15	53.92	122.28	640	199.3	159.1	0.82	123.2	25.31	0.3008	0.08451	20.72	2.258	0.5103	15.37	0.002645	0.0311	9.85	3.863	208.3	236	267	295.5	58.7	152.3
WLOW15_5	2009	WLOW	North	0.301454196	15	53.92	122.28	640	169.8	127.7	0.7	111.2	21.24	0.3091	0.0694	20.44	2.057	0.3941	18.89	0.001535	0.0222	12.18	4.01	194.3	218.5	294.7	322.3	100.3	120.1
