prov_identifier,lat_prov,long_prov,elev_prov,MAT_prov,MSP100_prov,spring_event,fall_event,lat_garden,long_garden,elev_garden,year,MAT_garden,MSP100_garden,prov_continent,garden_continent,prov_garden_continent,species,species_type,garden_identifier,label
prov12,40.95,-123.65,182.8805516,14,1.15,105,N.A.,-42.516,172.639,490,1961,9.491666667,8.25,North America,New Zealand,different,Pseudotsuga menziesii,gymnosperm,G,NG PSEUME Sweet 1965
prov13,40.916667,-123.8,487.6814708,12.2,1.24,113,N.A.,-42.516,172.639,490,1961,9.491666667,8.25,North America,New Zealand,different,Pseudotsuga menziesii,gymnosperm,G,NG PSEUME Sweet 1965
prov14,40.916667,-123.916667,213.3606435,11,1.24,106,N.A.,-42.516,172.639,490,1961,9.491666667,8.25,North America,New Zealand,different,Pseudotsuga menziesii,gymnosperm,G,NG PSEUME Sweet 1965
prov15,40.233333,-123.866667,518.1615628,11.7,0.97,96,N.A.,-42.516,172.639,490,1961,9.491666667,8.25,North America,New Zealand,different,Pseudotsuga menziesii,gymnosperm,G,NG PSEUME Sweet 1965
prov16,39.6,-123.8,152.4004596,11.4,0.74,103,N.A.,-42.516,172.639,490,1961,9.491666667,8.25,North America,New Zealand,different,Pseudotsuga menziesii,gymnosperm,G,NG PSEUME Sweet 1965
prov17,39.833333,-123.05,762.0022982,13.4,0.87,102,N.A.,-42.516,172.639,490,1961,9.491666667,8.25,North America,New Zealand,different,Pseudotsuga menziesii,gymnosperm,G,NG PSEUME Sweet 1965
prov18,39.85,-123.6,762.0022982,11.6,1.23,101,N.A.,-42.516,172.639,490,1961,9.491666667,8.25,North America,New Zealand,different,Pseudotsuga menziesii,gymnosperm,G,NG PSEUME Sweet 1965
prov19,39.35,-123.716667,152.4004596,11.8,0.74,113,N.A.,-42.516,172.639,490,1961,9.491666667,8.25,North America,New Zealand,different,Pseudotsuga menziesii,gymnosperm,G,NG PSEUME Sweet 1965
prov20,38.75,-120.75,914.4027578,14,0.73,87,N.A.,-42.516,172.639,490,1961,9.491666667,8.25,North America,New Zealand,different,Pseudotsuga menziesii,gymnosperm,G,NG PSEUME Sweet 1965
prov21,38.766667,-122.683333,457.2013789,14.7,0.47,93,N.A.,-42.516,172.639,490,1961,9.491666667,8.25,North America,New Zealand,different,Pseudotsuga menziesii,gymnosperm,G,NG PSEUME Sweet 1965
prov22,38.65,-123.366667,152.4004596,12,0.51,111,N.A.,-42.516,172.639,490,1961,9.491666667,8.25,North America,New Zealand,different,Pseudotsuga menziesii,gymnosperm,G,NG PSEUME Sweet 1965
prov23,37.083333,-122.25,304.8009193,13.1,0.36,101,N.A.,-42.516,172.639,490,1961,9.491666667,8.25,North America,New Zealand,different,Pseudotsuga menziesii,gymnosperm,G,NG PSEUME Sweet 1965
prov1,38.63333333,-123.23,200,13.7,0.58,,280,44.5657,-123.276,70,1978,11.3,1.47,North America,North America,same,Tsuga heterophylla,gymnosperm,H,NG TSUGHE Kuser 1980
prov2,40.95,-123.64,700,13,1.31,,274,44.5657,-123.276,70,1978,11.3,1.47,North America,North America,same,Tsuga heterophylla,gymnosperm,H,NG TSUGHE Kuser 1980
prov3,43.5,-124,500,10.2,2.86,,259,44.5657,-123.276,70,1978,11.3,1.47,North America,North America,same,Tsuga heterophylla,gymnosperm,H,NG TSUGHE Kuser 1980
prov4,44.5,-123.5,700,10.1,2.43,125,254,44.5657,-123.276,70,1978,11.3,1.47,North America,North America,same,Tsuga heterophylla,gymnosperm,H,NG TSUGHE Kuser 1980
prov5,45.43333333,-123.8,200,9.7,3.98,,253,44.5657,-123.276,70,1978,11.3,1.47,North America,North America,same,Tsuga heterophylla,gymnosperm,H,NG TSUGHE Kuser 1980
prov6,46.03333333,-122.35,500,9.1,4.71,123,246,44.5657,-123.276,70,1978,11.3,1.47,North America,North America,same,Tsuga heterophylla,gymnosperm,H,NG TSUGHE Kuser 1980
prov7,46.91666667,-123.72,100,9.8,3.93,121,248,44.5657,-123.276,70,1978,11.3,1.47,North America,North America,same,Tsuga heterophylla,gymnosperm,H,NG TSUGHE Kuser 1980
prov8,47.58333333,-121.75,200,9.4,3.4,,247,44.5657,-123.276,70,1978,11.3,1.47,North America,North America,same,Tsuga heterophylla,gymnosperm,H,NG TSUGHE Kuser 1980
prov9,48.36666667,-124.63,100,8.8,4.68,124,241,44.5657,-123.276,70,1978,11.3,1.47,North America,North America,same,Tsuga heterophylla,gymnosperm,H,NG TSUGHE Kuser 1980
prov10,49.75,-126.45,400,7.5,7.94,118,236,44.5657,-123.276,70,1978,11.3,1.47,North America,North America,same,Tsuga heterophylla,gymnosperm,H,NG TSUGHE Kuser 1980
prov11,50.4,-127.73,100,8.4,7.76,117,233,44.5657,-123.276,70,1978,11.3,1.47,North America,North America,same,Tsuga heterophylla,gymnosperm,H,NG TSUGHE Kuser 1980
prov12,52.93333333,-132,300,6.1,8.79,112,228,44.5657,-123.276,70,1978,11.3,1.47,North America,North America,same,Tsuga heterophylla,gymnosperm,H,NG TSUGHE Kuser 1980
prov13,55.91666667,-133.2,100,6,7.27,107,209,44.5657,-123.276,70,1978,11.3,1.47,North America,North America,same,Tsuga heterophylla,gymnosperm,H,NG TSUGHE Kuser 1980
prov14,58.38333333,-134.64,100,4.4,7.28,106,205,44.5657,-123.276,70,1978,11.3,1.47,North America,North America,same,Tsuga heterophylla,gymnosperm,H,NG TSUGHE Kuser 1980
prov15,45.16666667,-122.1,1300,6.6,3.72,112,229,44.5657,-123.276,70,1978,11.3,1.47,North America,North America,same,Tsuga heterophylla,gymnosperm,H,NG TSUGHE Kuser 1980
prov16,46.36666667,-122,900,6.5,3.47,118,239,44.5657,-123.276,70,1978,11.3,1.47,North America,North America,same,Tsuga heterophylla,gymnosperm,H,NG TSUGHE Kuser 1980
prov17,48.35,-116.93,700,7.1,2.19,107,221,44.5657,-123.276,70,1978,11.3,1.47,North America,North America,same,Tsuga heterophylla,gymnosperm,H,NG TSUGHE Kuser 1980
prov18,48.35,-116.93,1400,4.8,2.74,96,204,44.5657,-123.276,70,1978,11.3,1.47,North America,North America,same,Tsuga heterophylla,gymnosperm,H,NG TSUGHE Kuser 1980
prov19,49.13333333,-116.8,1400,3.3,4.08,90,215,44.5657,-123.276,70,1978,11.3,1.47,North America,North America,same,Tsuga heterophylla,gymnosperm,H,NG TSUGHE Kuser 1980
prov1,57.484,-3.17,102,6.383333333,8.3524,146.509,297.006,51.9,-3.8,215,2013,9.175,14.80833333,Europe,Europe,same,Fraxinus excelsior,angiosperm,I,EA FRAXEX Rosique-Esplugas 2021
prov2,57.426,-5.591,78,7.533333333,26.235,151.846,298.034,51.9,-3.8,215,2013,9.175,14.80833333,Europe,Europe,same,Fraxinus excelsior,angiosperm,I,EA FRAXEX Rosique-Esplugas 2021
prov3,57.368,-4.345,56,5.016666667,8.5279,145.296,293.8,51.9,-3.8,215,2013,9.175,14.80833333,Europe,Europe,same,Fraxinus excelsior,angiosperm,I,EA FRAXEX Rosique-Esplugas 2021
prov4,57.176,-5.751,18,7.866666667,20.414,147.965,293.982,51.9,-3.8,215,2013,9.175,14.80833333,Europe,Europe,same,Fraxinus excelsior,angiosperm,I,EA FRAXEX Rosique-Esplugas 2021
prov5,56.623,-3.258,152,7.85,7.8769,149.178,294.768,51.9,-3.8,215,2013,9.175,14.80833333,Europe,Europe,same,Fraxinus excelsior,angiosperm,I,EA FRAXEX Rosique-Esplugas 2021
prov6,56.602,-4.248,183,5.9166667,17.786,150.876,296.764,51.9,-3.8,215,2013,9.175,14.80833333,Europe,Europe,same,Fraxinus excelsior,angiosperm,I,EA FRAXEX Rosique-Esplugas 2021
prov7,56.579,-4.037,142,6.45833333,13.584,149.259,296.038,51.9,-3.8,215,2013,9.175,14.80833333,Europe,Europe,same,Fraxinus excelsior,angiosperm,I,EA FRAXEX Rosique-Esplugas 2021
prov8,56.574,-5.232,33,7.075,25.053,148.854,304.385,51.9,-3.8,215,2013,9.175,14.80833333,Europe,Europe,same,Fraxinus excelsior,angiosperm,I,EA FRAXEX Rosique-Esplugas 2021
prov9,56.56,-5.741,20,7.6,21.45,150.957,299.486,51.9,-3.8,215,2013,9.175,14.80833333,Europe,Europe,same,Fraxinus excelsior,angiosperm,I,EA FRAXEX Rosique-Esplugas 2021
prov10,56.53,-6.208,71,8.125,17.411,151.442,299.002,51.9,-3.8,215,2013,9.175,14.80833333,Europe,Europe,same,Fraxinus excelsior,angiosperm,I,EA FRAXEX Rosique-Esplugas 2021
prov11,56.3,-3.573,119,7.608333333,13.182,150.714,298.276,51.9,-3.8,215,2013,9.175,14.80833333,Europe,Europe,same,Fraxinus excelsior,angiosperm,I,EA FRAXEX Rosique-Esplugas 2021
prov12,56.106,-5.42,30,8.158333333,17.711,146.348,292.409,51.9,-3.8,215,2013,9.175,14.80833333,Europe,Europe,same,Fraxinus excelsior,angiosperm,I,EA FRAXEX Rosique-Esplugas 2021
prov13,55.911,-4.825,107,7.85,17.677,147.965,297.127,51.9,-3.8,215,2013,9.175,14.80833333,Europe,Europe,same,Fraxinus excelsior,angiosperm,I,EA FRAXEX Rosique-Esplugas 2021
prov14,55.68,-3.913,159,6.933333333,10.562,149.744,297.127,51.9,-3.8,215,2013,9.175,14.80833333,Europe,Europe,same,Fraxinus excelsior,angiosperm,I,EA FRAXEX Rosique-Esplugas 2021
prov15,55.588,-2.662,68,7.9,7.1221,148.693,298.155,51.9,-3.8,215,2013,9.175,14.80833333,Europe,Europe,same,Fraxinus excelsior,angiosperm,I,EA FRAXEX Rosique-Esplugas 2021
prov16,55.381,-3.929,162,7.158333333,12.709,149.663,296.28,51.9,-3.8,215,2013,9.175,14.80833333,Europe,Europe,same,Fraxinus excelsior,angiosperm,I,EA FRAXEX Rosique-Esplugas 2021
prov17,55.32,-3.829,141,7.441666667,14.551,151.442,291.018,51.9,-3.8,215,2013,9.175,14.80833333,Europe,Europe,same,Fraxinus excelsior,angiosperm,I,EA FRAXEX Rosique-Esplugas 2021
prov18,55.235,-3.853,90,8.03333,12.943,149.016,295.252,51.9,-3.8,215,2013,9.175,14.80833333,Europe,Europe,same,Fraxinus excelsior,angiosperm,I,EA FRAXEX Rosique-Esplugas 2021
prov19,55.088,-2.222,90,7.866666667,8.2579,155,297.308,51.9,-3.8,215,2013,9.175,14.80833333,Europe,Europe,same,Fraxinus excelsior,angiosperm,I,EA FRAXEX Rosique-Esplugas 2021
prov20,54.743,-1.352,102,8.891666667,7.0849,149.744,298.337,51.9,-3.8,215,2013,9.175,14.80833333,Europe,Europe,same,Fraxinus excelsior,angiosperm,I,EA FRAXEX Rosique-Esplugas 2021
prov21,54.274,-0.49,52,8.825,7.7292,146.105,298.639,51.9,-3.8,215,2013,9.175,14.80833333,Europe,Europe,same,Fraxinus excelsior,angiosperm,I,EA FRAXEX Rosique-Esplugas 2021
prov22,54.264,-2.87,79,8.716666667,14.735,148.288,300.091,51.9,-3.8,215,2013,9.175,14.80833333,Europe,Europe,same,Fraxinus excelsior,angiosperm,I,EA FRAXEX Rosique-Esplugas 2021
prov23,54.262,-1.133,142,8.175,8.6285,149.34,300.696,51.9,-3.8,215,2013,9.175,14.80833333,Europe,Europe,same,Fraxinus excelsior,angiosperm,I,EA FRAXEX Rosique-Esplugas 2021
prov24,54.203,-2.104,202,7.25,16.194,145.943,298.942,51.9,-3.8,215,2013,9.175,14.80833333,Europe,Europe,same,Fraxinus excelsior,angiosperm,I,EA FRAXEX Rosique-Esplugas 2021
prov25,54.182,-2.689,170,7.933333333,12.08,149.097,299.486,51.9,-3.8,215,2013,9.175,14.80833333,Europe,Europe,same,Fraxinus excelsior,angiosperm,I,EA FRAXEX Rosique-Esplugas 2021
prov26,53.308,-0.861,54,9.266666667,6.1642,146.348,298.579,51.9,-3.8,215,2013,9.175,14.80833333,Europe,Europe,same,Fraxinus excelsior,angiosperm,I,EA FRAXEX Rosique-Esplugas 2021
prov27,53.104,-1.619,239,8.616666667,9.8075,148.127,304.99,51.9,-3.8,215,2013,9.175,14.80833333,Europe,Europe,same,Fraxinus excelsior,angiosperm,I,EA FRAXEX Rosique-Esplugas 2021
prov28,53.079,-3.799,57,7.091666667,18.995,144.569,302.329,51.9,-3.8,215,2013,9.175,14.80833333,Europe,Europe,same,Fraxinus excelsior,angiosperm,I,EA FRAXEX Rosique-Esplugas 2021
prov29,52.852,-1.82,142,9.35,7.2146,145.054,301.603,51.9,-3.8,215,2013,9.175,14.80833333,Europe,Europe,same,Fraxinus excelsior,angiosperm,I,EA FRAXEX Rosique-Esplugas 2021
prov30,52.621,-2.523,99,9.116666667,7.1433,145.216,302.933,51.9,-3.8,215,2013,9.175,14.80833333,Europe,Europe,same,Fraxinus excelsior,angiosperm,I,EA FRAXEX Rosique-Esplugas 2021
prov31,52.43,-4.059,90,8.4,10.512,145.782,303.054,51.9,-3.8,215,2013,9.175,14.80833333,Europe,Europe,same,Fraxinus excelsior,angiosperm,I,EA FRAXEX Rosique-Esplugas 2021
prov32,52.166,0.415,96,9.45,6.2385,146.995,301.3,51.9,-3.8,215,2013,9.175,14.80833333,Europe,Europe,same,Fraxinus excelsior,angiosperm,I,EA FRAXEX Rosique-Esplugas 2021
prov33,52.158,-0.11,79,9.533333333,5.6216,145.539,307.046,51.9,-3.8,215,2013,9.175,14.80833333,Europe,Europe,same,Fraxinus excelsior,angiosperm,I,EA FRAXEX Rosique-Esplugas 2021
prov34,52.05,0.883,66,9.791666667,5.6555,139.636,305.655,51.9,-3.8,215,2013,9.175,14.80833333,Europe,Europe,same,Fraxinus excelsior,angiosperm,I,EA FRAXEX Rosique-Esplugas 2021
prov35,51.986,-3.213,198,7.941666667,9.4339,146.59,303.296,51.9,-3.8,215,2013,9.175,14.80833333,Europe,Europe,same,Fraxinus excelsior,angiosperm,I,EA FRAXEX Rosique-Esplugas 2021
prov36,51.678,-2.679,208,9.966666667,10.524,141.577,301.3,51.9,-3.8,215,2013,9.175,14.80833333,Europe,Europe,same,Fraxinus excelsior,angiosperm,I,EA FRAXEX Rosique-Esplugas 2021
prov37,51.606,-2.285,160,9.475,8.615,144.973,303.901,51.9,-3.8,215,2013,9.175,14.80833333,Europe,Europe,same,Fraxinus excelsior,angiosperm,I,EA FRAXEX Rosique-Esplugas 2021
prov38,51.546,-3.234,158,9.216666667,13.293,144.407,304.264,51.9,-3.8,215,2013,9.175,14.80833333,Europe,Europe,same,Fraxinus excelsior,angiosperm,I,EA FRAXEX Rosique-Esplugas 2021
prov39,51.189,-3.583,102,8.958333333,15.412,145.135,299.909,51.9,-3.8,215,2013,9.175,14.80833333,Europe,Europe,same,Fraxinus excelsior,angiosperm,I,EA FRAXEX Rosique-Esplugas 2021
prov40,51.011,-0.628,60,10.79,8.5963,141.739,300.696,51.9,-3.8,215,2013,9.175,14.80833333,Europe,Europe,same,Fraxinus excelsior,angiosperm,I,EA FRAXEX Rosique-Esplugas 2021
prov41,50.908,-0.616,194,10.449165,9.3624,142.466,302.994,51.9,-3.8,215,2013,9.175,14.80833333,Europe,Europe,same,Fraxinus excelsior,angiosperm,I,EA FRAXEX Rosique-Esplugas 2021
prov42,50.637,-2.136,126,10.10833,8.6759,141.725,303.659,51.9,-3.8,215,2013,9.175,14.80833333,Europe,Europe,same,Fraxinus excelsior,angiosperm,I,EA FRAXEX Rosique-Esplugas 2021
prov1,48.45583333,10.06333333,560,8.1,7.05,116.96,302.94,42.9575,26.62833,350,2013,10.325,5.475,Europe,Europe,same,Fagus sylvatica,angiosperm,J,EA FAGUSY Petkova et al 2017
prov2,50.13333333,12.18333333,611,6,7,115.01,302.644,42.9575,26.62833,350,2013,10.325,5.475,Europe,Europe,same,Fagus sylvatica,angiosperm,J,EA FAGUSY Petkova et al 2017
prov3,50.50416667,11.32805556,650,6.5,9,115.62,303.088,42.9575,26.62833,350,2013,10.325,5.475,Europe,Europe,same,Fagus sylvatica,angiosperm,J,EA FAGUSY Petkova et al 2017
prov4,48.21833333,10.42305556,565,7,8,116.96,303.729,42.9575,26.62833,350,2013,10.325,5.475,Europe,Europe,same,Fagus sylvatica,angiosperm,J,EA FAGUSY Petkova et al 2017
prov5,49.95166667,10.48833333,344,8,8,117.36,305.307,42.9575,26.62833,350,2013,10.325,5.475,Europe,Europe,same,Fagus sylvatica,angiosperm,J,EA FAGUSY Petkova et al 2017
prov6,41.97361111,24.37722222,1300,7,9.6,115.62,296.727,42.9575,26.62833,350,2013,10.325,5.475,Europe,Europe,same,Fagus sylvatica,angiosperm,J,EA FAGUSY Petkova et al 2017
prov7,43.35583333,23.17416667,850,10.4,8.25,113.63,298.699,42.9575,26.62833,350,2013,10.325,5.475,Europe,Europe,same,Fagus sylvatica,angiosperm,J,EA FAGUSY Petkova et al 2017
prov8,43.255,23.23888889,800,10.4,10.04,114.35,306.688,42.9575,26.62833,350,2013,10.325,5.475,Europe,Europe,same,Fagus sylvatica,angiosperm,J,EA FAGUSY Petkova et al 2017
prov1,48.45583333,10.06333333,560,8.1,7.05,107.93,307.415,42.9575,26.62833,350,2016,10.325,5.475,Europe,Europe,same,Fagus sylvatica,angiosperm,J,EA FAGUSY Petkova et al 2017
prov2,50.13333333,12.18333333,611,6,7,105.11,309.974,42.9575,26.62833,350,2016,10.325,5.475,Europe,Europe,same,Fagus sylvatica,angiosperm,J,EA FAGUSY Petkova et al 2017
prov3,50.50416667,11.32805556,650,6.5,9,105.88,311.971,42.9575,26.62833,350,2016,10.325,5.475,Europe,Europe,same,Fagus sylvatica,angiosperm,J,EA FAGUSY Petkova et al 2017
prov4,48.21833333,10.42305556,565,7,8,108.18,310.384,42.9575,26.62833,350,2016,10.325,5.475,Europe,Europe,same,Fagus sylvatica,angiosperm,J,EA FAGUSY Petkova et al 2017
prov5,49.95166667,10.48833333,344,8,8,107.16,310.742,42.9575,26.62833,350,2016,10.325,5.475,Europe,Europe,same,Fagus sylvatica,angiosperm,J,EA FAGUSY Petkova et al 2017
prov6,41.97361111,24.37722222,1300,7,9.6,105.75,309.718,42.9575,26.62833,350,2016,10.325,5.475,Europe,Europe,same,Fagus sylvatica,angiosperm,J,EA FAGUSY Petkova et al 2017
prov7,43.35583333,23.17416667,850,10.4,8.25,101.15,307.978,42.9575,26.62833,350,2016,10.325,5.475,Europe,Europe,same,Fagus sylvatica,angiosperm,J,EA FAGUSY Petkova et al 2017
prov8,43.255,23.23888889,800,10.4,10.04,103.83,309.411,42.9575,26.62833,350,2016,10.325,5.475,Europe,Europe,same,Fagus sylvatica,angiosperm,J,EA FAGUSY Petkova et al 2017
prov1,44.9466,-91.3956,273,5.975,6.566666667,119,N.A.,48.3809,-89.2477,189,1985,2.691666667,6.116666667,North America,North America,same,Populus balsamifera,angiosperm,K,NA POPUBA Farmer 1993
prov2,48.3809,-89.2477,189,2.691666667,6.116666667,120,N.A.,48.3809,-89.2477,189,1985,2.691666667,6.116666667,North America,North America,same,Populus balsamifera,angiosperm,K,NA POPUBA Farmer 1993
prov3,51.4678,-90.1938,365,-0.783333333,6.475,119,N.A.,48.3809,-89.2477,189,1985,2.691666667,6.116666667,North America,North America,same,Populus balsamifera,angiosperm,K,NA POPUBA Farmer 1993
prov4,45.7303,-89.6854,468,4.23333,6.666667,117,N.A.,48.3809,-89.2477,189,1985,2.691666667,6.116666667,North America,North America,same,Populus balsamifera,angiosperm,K,NA POPUBA Farmer 1993
prov1,44.9466,-91.3956,273,5.975,6.566666667,118,N.A.,48.3809,-89.2477,189,1986,2.691666667,6.116666667,North America,North America,same,Populus balsamifera,angiosperm,K,NA POPUBA Farmer 1993
prov2,48.3809,-89.2477,189,2.691666667,6.116666667,119,N.A.,48.3809,-89.2477,189,1986,2.691666667,6.116666667,North America,North America,same,Populus balsamifera,angiosperm,K,NA POPUBA Farmer 1993
prov3,51.4678,-90.1938,365,-0.783333333,6.475,119,N.A.,48.3809,-89.2477,189,1986,2.691666667,6.116666667,North America,North America,same,Populus balsamifera,angiosperm,K,NA POPUBA Farmer 1993
prov4,45.7303,-89.6854,468,4.23333,6.666667,116,N.A.,48.3809,-89.2477,189,1986,2.691666667,6.116666667,North America,North America,same,Populus balsamifera,angiosperm,K,NA POPUBA Farmer 1993
prov1,44.9466,-91.3956,273,5.975,6.566666667,111,N.A.,48.3809,-89.2477,189,1987,2.691666667,6.116666667,North America,North America,same,Populus balsamifera,angiosperm,K,NA POPUBA Farmer 1993
prov2,48.3809,-89.2477,189,2.691666667,6.116666667,117,N.A.,48.3809,-89.2477,189,1987,2.691666667,6.116666667,North America,North America,same,Populus balsamifera,angiosperm,K,NA POPUBA Farmer 1993
prov3,51.4678,-90.1938,365,-0.783333333,6.475,115,N.A.,48.3809,-89.2477,189,1987,2.691666667,6.116666667,North America,North America,same,Populus balsamifera,angiosperm,K,NA POPUBA Farmer 1993
prov4,45.7303,-89.6854,468,4.23333,6.666667,112,N.A.,48.3809,-89.2477,189,1987,2.691666667,6.116666667,North America,North America,same,Populus balsamifera,angiosperm,K,NA POPUBA Farmer 1993
prov1,66.41666667,14.5,118,-0.141666667,11.11666667,117.722,N.A.,69.65,18.91666667,56,2004,1.108333333,7.766667,Europe,Europe,same,Picea abies,gymnosperm,L,EG PICEAB Sogaard et al. 2008
prov2,64.83333333,13,180,1.325,10.00833333,118.611,N.A.,69.65,18.91666667,56,2004,1.108333333,7.766667,Europe,Europe,same,Picea abies,gymnosperm,L,EG PICEAB Sogaard et al. 2008
prov3,64.66666667,11.66666667,66,3.608333,12.925,118.611,N.A.,69.65,18.91666667,56,2004,1.108333333,7.766667,Europe,Europe,same,Picea abies,gymnosperm,L,EG PICEAB Sogaard et al. 2008
prov4,60.58333333,11,656,2.866666667,5.791667,121.722,N.A.,69.65,18.91666667,56,2004,1.108333333,7.766667,Europe,Europe,same,Picea abies,gymnosperm,L,EG PICEAB Sogaard et al. 2008
prov5,60.75,9,772,0.158333333,5.658333,,N.A.,69.65,18.91666667,56,2004,1.108333333,7.766667,Europe,Europe,same,Picea abies,gymnosperm,L,EG PICEAB Sogaard et al. 2008
prov6,60.93333333,9.633333333,413,0.8,6.391666667,,N.A.,69.65,18.91666667,56,2004,1.108333333,7.766667,Europe,Europe,same,Picea abies,gymnosperm,L,EG PICEAB Sogaard et al. 2008
prov7,58.58333333,8.833333333,74,6.416666667,8.708333333,127.722,N.A.,69.65,18.91666667,56,2004,1.108333333,7.766667,Europe,Europe,same,Picea abies,gymnosperm,L,EG PICEAB Sogaard et al. 2008
prov8,51.66666667,10.5,468,7.675,6.766666667,,N.A.,69.65,18.91666667,56,2004,1.108333333,7.766667,Europe,Europe,same,Picea abies,gymnosperm,L,EG PICEAB Sogaard et al. 2008
prov9,54.08333333,26.51666667,181,6.141666667,5.391667,,N.A.,69.65,18.91666667,56,2004,1.108333333,7.766667,Europe,Europe,same,Picea abies,gymnosperm,L,EG PICEAB Sogaard et al. 2008
prov1,45.5,-123.5,100,10.3,4.82,122.1,N.A.,48.41666667,-124.0166667,75,1998,8.9,2.67,North America,North America,same,Tsuga heterophylla,gymnosperm,M,NG TSUGHE Hannerz et al. 1999
prov2,44.86666667,-122.1833333,305,8.3,3.75,121.6,N.A.,48.41666667,-124.0166667,75,1998,8.9,2.67,North America,North America,same,Tsuga heterophylla,gymnosperm,M,NG TSUGHE Hannerz et al. 1999
prov3,50,-125,120,9.1,2.68,126.5,N.A.,48.41666667,-124.0166667,75,1998,8.9,2.67,North America,North America,same,Tsuga heterophylla,gymnosperm,M,NG TSUGHE Hannerz et al. 1999
prov4,53.5,-132.15,30,7.2,4.17,133.5,N.A.,48.41666667,-124.0166667,75,1998,8.9,2.67,North America,North America,same,Tsuga heterophylla,gymnosperm,M,NG TSUGHE Hannerz et al. 1999
prov1,49.53333333,0.766666667,80,10.51666667,5.875,125.6,N.A.,48.63333333,19.03333333,810,2007,7.891667,6.216666667,Europe,Europe,same,Fagus sylvatica,angiosperm,N,EA FAGUSY Gömöry & Paule 2011
prov2,49.25,3.1,140,10.10833333,5.36667,127.2,N.A.,48.63333333,19.03333333,810,2007,7.891667,6.216666667,Europe,Europe,same,Fagus sylvatica,angiosperm,N,EA FAGUSY Gömöry & Paule 2011
prov3,44.15,2.583333333,850,10.16666667,7.491667,128.1,N.A.,48.63333333,19.03333333,810,2007,7.891667,6.216666667,Europe,Europe,same,Fagus sylvatica,angiosperm,N,EA FAGUSY Gömöry & Paule 2011
prov4,48.36666667,1.15,180,10.39166667,5.283333333,124.3,N.A.,48.63333333,19.03333333,810,2007,7.891667,6.216666667,Europe,Europe,same,Fagus sylvatica,angiosperm,N,EA FAGUSY Gömöry & Paule 2011
prov5,46.8,5.833333333,600,8.125,9.141666667,128.7,N.A.,48.63333333,19.03333333,810,2007,7.891667,6.216666667,Europe,Europe,same,Fagus sylvatica,angiosperm,N,EA FAGUSY Gömöry & Paule 2011
prov6,49.66666667,6.2,400,9.066666667,7.108333333,120.8,N.A.,48.63333333,19.03333333,810,2007,7.891667,6.216666667,Europe,Europe,same,Fagus sylvatica,angiosperm,N,EA FAGUSY Gömöry & Paule 2011
prov7,50.83333333,4.416666667,110,9.908333333,6.8,130.5,N.A.,48.63333333,19.03333333,810,2007,7.891667,6.216666667,Europe,Europe,same,Fagus sylvatica,angiosperm,N,EA FAGUSY Gömöry & Paule 2011
prov8,51.93333333,6.733333333,45,9.45,6.25,126.9,N.A.,48.63333333,19.03333333,810,2007,7.891667,6.216666667,Europe,Europe,same,Fagus sylvatica,angiosperm,N,EA FAGUSY Gömöry & Paule 2011
prov9,52.28333333,5.8,33,9.116666667,6.591666667,130.8,N.A.,48.63333333,19.03333333,810,2007,7.891667,6.216666667,Europe,Europe,same,Fagus sylvatica,angiosperm,N,EA FAGUSY Gömöry & Paule 2011
prov10,41.56666667,23.73333333,1450,9.933333333,5.308333333,125.3,N.A.,48.63333333,19.03333333,810,2007,7.891667,6.216666667,Europe,Europe,same,Fagus sylvatica,angiosperm,N,EA FAGUSY Gömöry & Paule 2011
prov11,51.71666667,-2,140,9.516666667,5.875,123.2,N.A.,48.63333333,19.03333333,810,2007,7.891667,6.216666667,Europe,Europe,same,Fagus sylvatica,angiosperm,N,EA FAGUSY Gömöry & Paule 2011
prov12,54.91666667,9.583333333,50,8.15,6.566666667,121.9,N.A.,48.63333333,19.03333333,810,2007,7.891667,6.216666667,Europe,Europe,same,Fagus sylvatica,angiosperm,N,EA FAGUSY Gömöry & Paule 2011
prov13,55.56666667,13.2,40,8.391666667,4.833333333,127.8,N.A.,48.63333333,19.03333333,810,2007,7.891667,6.216666667,Europe,Europe,same,Fagus sylvatica,angiosperm,N,EA FAGUSY Gömöry & Paule 2011
prov14,53.65,10.66666667,55,8.591666667,5.508333333,121.3,N.A.,48.63333333,19.03333333,810,2007,7.891667,6.216666667,Europe,Europe,same,Fagus sylvatica,angiosperm,N,EA FAGUSY Gömöry & Paule 2011
prov15,50.35,9.683333333,535,7.775,6.125,119.5,N.A.,48.63333333,19.03333333,810,2007,7.891667,6.216666667,Europe,Europe,same,Fagus sylvatica,angiosperm,N,EA FAGUSY Gömöry & Paule 2011
prov16,52.05,12.41666667,140,8.9,4.508333333,126.1,N.A.,48.63333333,19.03333333,810,2007,7.891667,6.216666667,Europe,Europe,same,Fagus sylvatica,angiosperm,N,EA FAGUSY Gömöry & Paule 2011
prov17,48.46666667,9.45,760,6.858333333,7.791666667,124,N.A.,48.63333333,19.03333333,810,2007,7.891667,6.216666667,Europe,Europe,same,Fagus sylvatica,angiosperm,N,EA FAGUSY Gömöry & Paule 2011
prov18,47.71666667,14.1,1250,4.783333333,12.46666667,120.9,N.A.,48.63333333,19.03333333,810,2007,7.891667,6.216666667,Europe,Europe,same,Fagus sylvatica,angiosperm,N,EA FAGUSY Gömöry & Paule 2011
