"prov_identifier","lat_prov","long_prov","elev_prov","MAT_prov","MSP100_prov","spring_event","fall_event","lat_garden","long_garden","elev_garden","year","MAT_garden","MSP100_garden","prov_continent","garden_continent","prov_garden_continent","species","species_type","garden_identifier","label","percentage","sd","distance_from_garden","earth_distance_from_garden","earth_distance_from_garden_min","spring_event_closest_prov","spring_event_difference","fall_event_closest_prov","fall_event_difference","MAT_diffo","species_garden","fitA_spring_lat_slope","fitA_spring_lat_intercept","Species","fitA_spring_lat_diffo_slope","fitA_spring_lat_diffo_intercept","fitA_fall_lat_diffo_slope","fitA_fall_lat_diffo_intercept","fitA_spring_mat_diffo_slope","fitA_spring_mat_diffo_intercept","fitA_fall_mat_diffo_slope","fitA_fall_mat_diffo_intercept","fitA_spring_mat_slope","fitA_spring_mat_intercept","fitC_spring_lat_slope","fitC_spring_lat_intercept","fitC_fall_lat_slope","fitC_fall_lat_intercept","doy","identifier","gdd_10yr_mean","fitD_spring_lat_slope","fitD_spring_lat_intercept","fitD_spring_mat_slope","fitD_spring_mat_intercept","fitA_spring_earth_distance_slope","fitA_spring_earth_distance_intercept","fitA_fall_earth_distance_slope","fitA_fall_earth_distance_intercept"
"prov11",49.05,-124.7,500,7.5,7.72,84.8,239.5,49.2186,-123.0548,93,"1996",10.1,2.8,"North America","North America","same","Alnus rubra","angiosperm","A","NA ALNURU Hamann et al. 1998",59.53162693,3.966140749,0.1686,121.5110661,40118.07219,84.1,-0.7,241.9,2.4,2.6,"Alnus rubra A",-0.542058183,111.7417156,"Alnus rubra",-0.839368688,85.45424152,-2.592189039,243.2248304,-1.031578169,86.01354595,-3.217470807,245.3931267,0.621216808,78.99519696,-0.743864035,122.0170688,-2.299102248,351.8817003,85,"prov11",227.1195,-30.98912131,1869.566948,63.31666055,-207.7755003,-0.00562147362813655,85.779364249491,-0.0179351958245352,244.476015145374
"prov12",49.05,-125.45,50,9.2,7.03,86.7,237.4,49.2186,-123.0548,93,"1996",10.1,2.8,"North America","North America","same","Alnus rubra","angiosperm","A","NA ALNURU Hamann et al. 1998",72.86296699,3.148600069,0.1686,175.784669,40118.07219,84.1,-2.6,241.9,4.5,0.9,"Alnus rubra A",-0.542058183,111.7417156,"Alnus rubra",-0.839368688,85.45424152,-2.592189039,243.2248304,-1.031578169,86.01354595,-3.217470807,245.3931267,0.621216808,78.99519696,-0.743864035,122.0170688,-2.299102248,351.8817003,87,"prov12",411.4705,-30.98912131,1869.566948,63.31666055,-207.7755003,-0.00562147362813655,85.779364249491,-0.0179351958245352,244.476015145374
"prov13",49.17,-124.68,400,7.8,5.46,82.5,243.7,49.2186,-123.0548,93,"1996",10.1,2.8,"North America","North America","same","Alnus rubra","angiosperm","A","NA ALNURU Hamann et al. 1998",56.13821718,4.25823485,0.0486,118.5764937,40118.07219,84.1,1.6,241.9,-1.8,2.3,"Alnus rubra A",-0.542058183,111.7417156,"Alnus rubra",-0.839368688,85.45424152,-2.592189039,243.2248304,-1.031578169,86.01354595,-3.217470807,245.3931267,0.621216808,78.99519696,-0.743864035,122.0170688,-2.299102248,351.8817003,82,"prov13",178.3205,-30.98912131,1869.566948,63.31666055,-207.7755003,-0.00562147362813655,85.779364249491,-0.0179351958245352,244.476015145374
"prov14",49.2,-124.75,100,9.1,2.89,85.8,243.4,49.2186,-123.0548,93,"1996",10.1,2.8,"North America","North America","same","Alnus rubra","angiosperm","A","NA ALNURU Hamann et al. 1998",71.36291597,3.875185583,0.0186,123.5349806,40118.07219,84.1,-1.7,241.9,-1.5,1,"Alnus rubra A",-0.542058183,111.7417156,"Alnus rubra",-0.839368688,85.45424152,-2.592189039,243.2248304,-1.031578169,86.01354595,-3.217470807,245.3931267,0.621216808,78.99519696,-0.743864035,122.0170688,-2.299102248,351.8817003,86,"prov14",306.09,-30.98912131,1869.566948,63.31666055,-207.7755003,-0.00562147362813655,85.779364249491,-0.0179351958245352,244.476015145374
"prov15",49.32,-124.45,50,8.9,2.05,84.7,238.7,49.2186,-123.0548,93,"1996",10.1,2.8,"North America","North America","same","Alnus rubra","angiosperm","A","NA ALNURU Hamann et al. 1998",82.63051269,3.760662316,0.1014,102.1605857,40118.07219,84.1,-0.6,241.9,3.2,1.2,"Alnus rubra A",-0.542058183,111.7417156,"Alnus rubra",-0.839368688,85.45424152,-2.592189039,243.2248304,-1.031578169,86.01354595,-3.217470807,245.3931267,0.621216808,78.99519696,-0.743864035,122.0170688,-2.299102248,351.8817003,85,"prov15",370.2795,-30.98912131,1869.566948,63.31666055,-207.7755003,-0.00562147362813655,85.779364249491,-0.0179351958245352,244.476015145374
"prov16",49.53,-124.88,100,8.7,2.33,85.8,244,49.2186,-123.0548,93,"1996",10.1,2.8,"North America","North America","same","Alnus rubra","angiosperm","A","NA ALNURU Hamann et al. 1998",77.83127843,3.947960377,0.3114,136.9954173,40118.07219,84.1,-1.7,241.9,-2.1,1.4,"Alnus rubra A",-0.542058183,111.7417156,"Alnus rubra",-0.839368688,85.45424152,-2.592189039,243.2248304,-1.031578169,86.01354595,-3.217470807,245.3931267,0.621216808,78.99519696,-0.743864035,122.0170688,-2.299102248,351.8817003,86,"prov16",336.7175,-30.98912131,1869.566948,63.31666055,-207.7755003,-0.00562147362813655,85.779364249491,-0.0179351958245352,244.476015145374
"prov17",49.57,-122.93,190,8.3,6.55,84.1,241.9,49.2186,-123.0548,93,"1996",10.1,2.8,"North America","North America","same","Alnus rubra","angiosperm","A","NA ALNURU Hamann et al. 1998",62.13771766,4.394370234,0.3514,40.11807219,40118.07219,84.1,0,241.9,0,1.8,"Alnus rubra A",-0.542058183,111.7417156,"Alnus rubra",-0.839368688,85.45424152,-2.592189039,243.2248304,-1.031578169,86.01354595,-3.217470807,245.3931267,0.621216808,78.99519696,-0.743864035,122.0170688,-2.299102248,351.8817003,84,"prov17",226.892,-30.98912131,1869.566948,63.31666055,-207.7755003,-0.00562147362813655,85.779364249491,-0.0179351958245352,244.476015145374
"prov18",49.65,-124.03,150,9.4,2.88,82.4,244.8,49.2186,-123.0548,93,"1996",10.1,2.8,"North America","North America","same","Alnus rubra","angiosperm","A","NA ALNURU Hamann et al. 1998",93.72158345,3.680628038,0.4314,85.47066223,40118.07219,84.1,1.7,241.9,-2.9,0.7,"Alnus rubra A",-0.542058183,111.7417156,"Alnus rubra",-0.839368688,85.45424152,-2.592189039,243.2248304,-1.031578169,86.01354595,-3.217470807,245.3931267,0.621216808,78.99519696,-0.743864035,122.0170688,-2.299102248,351.8817003,82,"prov18",401.058,-30.98912131,1869.566948,63.31666055,-207.7755003,-0.00562147362813655,85.779364249491,-0.0179351958245352,244.476015145374
"prov19",49.72,-123.12,100,8.5,4.21,80.3,244.4,49.2186,-123.0548,93,"1996",10.1,2.8,"North America","North America","same","Alnus rubra","angiosperm","A","NA ALNURU Hamann et al. 1998",80.27236238,4.194980674,0.5014,55.96499599,40118.07219,84.1,3.8,241.9,-2.5,1.6,"Alnus rubra A",-0.542058183,111.7417156,"Alnus rubra",-0.839368688,85.45424152,-2.592189039,243.2248304,-1.031578169,86.01354595,-3.217470807,245.3931267,0.621216808,78.99519696,-0.743864035,122.0170688,-2.299102248,351.8817003,80,"prov19",279.4655,-30.98912131,1869.566948,63.31666055,-207.7755003,-0.00562147362813655,85.779364249491,-0.0179351958245352,244.476015145374
"prov20",49.75,-125.12,250,8.2,2.56,86.2,241.1,49.2186,-123.0548,93,"1996",10.1,2.8,"North America","North America","same","Alnus rubra","angiosperm","A","NA ALNURU Hamann et al. 1998",75.14416067,3.988606891,0.5314,160.8852999,40118.07219,84.1,-2.1,241.9,0.8,1.9,"Alnus rubra A",-0.542058183,111.7417156,"Alnus rubra",-0.839368688,85.45424152,-2.592189039,243.2248304,-1.031578169,86.01354595,-3.217470807,245.3931267,0.621216808,78.99519696,-0.743864035,122.0170688,-2.299102248,351.8817003,86,"prov20",321.4105,-30.98912131,1869.566948,63.31666055,-207.7755003,-0.00562147362813655,85.779364249491,-0.0179351958245352,244.476015145374
"prov21",49.88,-123.18,250,7.9,3.88,83,241.6,49.2186,-123.0548,93,"1996",10.1,2.8,"North America","North America","same","Alnus rubra","angiosperm","A","NA ALNURU Hamann et al. 1998",75.73957619,4.313658308,0.6614,74.1169381,40118.07219,84.1,1.1,241.9,0.3,2.2,"Alnus rubra A",-0.542058183,111.7417156,"Alnus rubra",-0.839368688,85.45424152,-2.592189039,243.2248304,-1.031578169,86.01354595,-3.217470807,245.3931267,0.621216808,78.99519696,-0.743864035,122.0170688,-2.299102248,351.8817003,83,"prov21",261.105,-30.98912131,1869.566948,63.31666055,-207.7755003,-0.00562147362813655,85.779364249491,-0.0179351958245352,244.476015145374
"prov22",49.97,-124.75,150,9.1,2.76,82.6,242.4,49.2186,-123.0548,93,"1996",10.1,2.8,"North America","North America","same","Alnus rubra","angiosperm","A","NA ALNURU Hamann et al. 1998",86.92565567,3.808006981,0.7514,148.3341393,40118.07219,84.1,1.5,241.9,-0.5,1,"Alnus rubra A",-0.542058183,111.7417156,"Alnus rubra",-0.839368688,85.45424152,-2.592189039,243.2248304,-1.031578169,86.01354595,-3.217470807,245.3931267,0.621216808,78.99519696,-0.743864035,122.0170688,-2.299102248,351.8817003,83,"prov22",362.9435,-30.98912131,1869.566948,63.31666055,-207.7755003,-0.00562147362813655,85.779364249491,-0.0179351958245352,244.476015145374
"prov23",49.97,-126.25,1000,4.4,4.97,84.1,238.8,49.2186,-123.0548,93,"1996",10.1,2.8,"North America","North America","same","Alnus rubra","angiosperm","A","NA ALNURU Hamann et al. 1998",60.87271011,3.989587896,0.7514,245.6322667,40118.07219,84.1,0,241.9,3.1,5.7,"Alnus rubra A",-0.542058183,111.7417156,"Alnus rubra",-0.839368688,85.45424152,-2.592189039,243.2248304,-1.031578169,86.01354595,-3.217470807,245.3931267,0.621216808,78.99519696,-0.743864035,122.0170688,-2.299102248,351.8817003,84,"prov23",232.5605,-30.98912131,1869.566948,63.31666055,-207.7755003,-0.00562147362813655,85.779364249491,-0.0179351958245352,244.476015145374
"prov24",50.02,-126.82,200,8.4,8.67,83.4,239.8,49.2186,-123.0548,93,"1996",10.1,2.8,"North America","North America","same","Alnus rubra","angiosperm","A","NA ALNURU Hamann et al. 1998",52.1627489,4.030292391,0.8014,286.2648352,40118.07219,84.1,0.7,241.9,2.1,1.7,"Alnus rubra A",-0.542058183,111.7417156,"Alnus rubra",-0.839368688,85.45424152,-2.592189039,243.2248304,-1.031578169,86.01354595,-3.217470807,245.3931267,0.621216808,78.99519696,-0.743864035,122.0170688,-2.299102248,351.8817003,83,"prov24",185.7825,-30.98912131,1869.566948,63.31666055,-207.7755003,-0.00562147362813655,85.779364249491,-0.0179351958245352,244.476015145374
"prov25",50.07,-123.1,540,6.3,3.48,84,236.6,49.2186,-123.0548,93,"1996",10.1,2.8,"North America","North America","same","Alnus rubra","angiosperm","A","NA ALNURU Hamann et al. 1998",54.82384418,4.563374449,0.8514,94.75082756,40118.07219,84.1,0.1,241.9,5.3,3.8,"Alnus rubra A",-0.542058183,111.7417156,"Alnus rubra",-0.839368688,85.45424152,-2.592189039,243.2248304,-1.031578169,86.01354595,-3.217470807,245.3931267,0.621216808,78.99519696,-0.743864035,122.0170688,-2.299102248,351.8817003,84,"prov25",154.2415,-30.98912131,1869.566948,63.31666055,-207.7755003,-0.00562147362813655,85.779364249491,-0.0179351958245352,244.476015145374
"prov26",50.08,-125.53,100,9.1,2.66,84.4,238.9,49.2186,-123.0548,93,"1996",10.1,2.8,"North America","North America","same","Alnus rubra","angiosperm","A","NA ALNURU Hamann et al. 1998",59.01248318,4.161476439,0.8614,202.7908413,40118.07219,84.1,-0.3,241.9,3,1,"Alnus rubra A",-0.542058183,111.7417156,"Alnus rubra",-0.839368688,85.45424152,-2.592189039,243.2248304,-1.031578169,86.01354595,-3.217470807,245.3931267,0.621216808,78.99519696,-0.743864035,122.0170688,-2.299102248,351.8817003,84,"prov26",212.7675,-30.98912131,1869.566948,63.31666055,-207.7755003,-0.00562147362813655,85.779364249491,-0.0179351958245352,244.476015145374
"prov27",50.17,-125.22,50,9,3.48,81.7,239.8,49.2186,-123.0548,93,"1996",10.1,2.8,"North America","North America","same","Alnus rubra","angiosperm","A","NA ALNURU Hamann et al. 1998",80.15404411,3.844240759,0.9514,188.6710921,40118.07219,84.1,2.4,241.9,2.1,1.1,"Alnus rubra A",-0.542058183,111.7417156,"Alnus rubra",-0.839368688,85.45424152,-2.592189039,243.2248304,-1.031578169,86.01354595,-3.217470807,245.3931267,0.621216808,78.99519696,-0.743864035,122.0170688,-2.299102248,351.8817003,82,"prov27",324.487,-30.98912131,1869.566948,63.31666055,-207.7755003,-0.00562147362813655,85.779364249491,-0.0179351958245352,244.476015145374
"prov28",50.18,-126.43,250,8.4,5.53,81.8,240.2,49.2186,-123.0548,93,"1996",10.1,2.8,"North America","North America","same","Alnus rubra","angiosperm","A","NA ALNURU Hamann et al. 1998",60.29033791,3.899026433,0.9614,265.9058503,40118.07219,84.1,2.3,241.9,1.7,1.7,"Alnus rubra A",-0.542058183,111.7417156,"Alnus rubra",-0.839368688,85.45424152,-2.592189039,243.2248304,-1.031578169,86.01354595,-3.217470807,245.3931267,0.621216808,78.99519696,-0.743864035,122.0170688,-2.299102248,351.8817003,82,"prov28",225.545,-30.98912131,1869.566948,63.31666055,-207.7755003,-0.00562147362813655,85.779364249491,-0.0179351958245352,244.476015145374
"prov29",50.22,-125.55,700,6.1,3.72,85.4,236.8,49.2186,-123.0548,93,"1996",10.1,2.8,"North America","North America","same","Alnus rubra","angiosperm","A","NA ALNURU Hamann et al. 1998",66.22940885,3.936051916,1.0014,211.6000783,40118.07219,84.1,-1.3,241.9,5.1,4,"Alnus rubra A",-0.542058183,111.7417156,"Alnus rubra",-0.839368688,85.45424152,-2.592189039,243.2248304,-1.031578169,86.01354595,-3.217470807,245.3931267,0.621216808,78.99519696,-0.743864035,122.0170688,-2.299102248,351.8817003,85,"prov29",271.2035,-30.98912131,1869.566948,63.31666055,-207.7755003,-0.00562147362813655,85.779364249491,-0.0179351958245352,244.476015145374
"prov30",50.23,-125.72,250,7.7,3.26,84.8,238.8,49.2186,-123.0548,93,"1996",10.1,2.8,"North America","North America","same","Alnus rubra","angiosperm","A","NA ALNURU Hamann et al. 1998",74.4819103,3.762294665,1.0114,222.6575527,40118.07219,84.1,-0.7,241.9,3.1,2.4,"Alnus rubra A",-0.542058183,111.7417156,"Alnus rubra",-0.839368688,85.45424152,-2.592189039,243.2248304,-1.031578169,86.01354595,-3.217470807,245.3931267,0.621216808,78.99519696,-0.743864035,122.0170688,-2.299102248,351.8817003,85,"prov30",323.653,-30.98912131,1869.566948,63.31666055,-207.7755003,-0.00562147362813655,85.779364249491,-0.0179351958245352,244.476015145374
"prov31",50.23,-125.72,300,7.5,3.26,86.7,240.9,49.2186,-123.0548,93,"1996",10.1,2.8,"North America","North America","same","Alnus rubra","angiosperm","A","NA ALNURU Hamann et al. 1998",74.4819103,3.762294665,1.0114,222.6575527,40118.07219,84.1,-2.6,241.9,1,2.6,"Alnus rubra A",-0.542058183,111.7417156,"Alnus rubra",-0.839368688,85.45424152,-2.592189039,243.2248304,-1.031578169,86.01354595,-3.217470807,245.3931267,0.621216808,78.99519696,-0.743864035,122.0170688,-2.299102248,351.8817003,87,"prov31",337.945,-30.98912131,1869.566948,63.31666055,-207.7755003,-0.00562147362813655,85.779364249491,-0.0179351958245352,244.476015145374
"prov32",50.35,-125.92,80,8.1,4.08,82.1,239.6,49.2186,-123.0548,93,"1996",10.1,2.8,"North America","North America","same","Alnus rubra","angiosperm","A","NA ALNURU Hamann et al. 1998",85.31107236,3.479880023,1.1314,241.6601045,40118.07219,84.1,2,241.9,2.3,2,"Alnus rubra A",-0.542058183,111.7417156,"Alnus rubra",-0.839368688,85.45424152,-2.592189039,243.2248304,-1.031578169,86.01354595,-3.217470807,245.3931267,0.621216808,78.99519696,-0.743864035,122.0170688,-2.299102248,351.8817003,82,"prov32",379.401,-30.98912131,1869.566948,63.31666055,-207.7755003,-0.00562147362813655,85.779364249491,-0.0179351958245352,244.476015145374
"prov33",50.6,-128.25,30,8.9,7.28,88.1,240.6,49.2186,-123.0548,93,"1996",10.1,2.8,"North America","North America","same","Alnus rubra","angiosperm","A","NA ALNURU Hamann et al. 1998",60.66983068,2.455241578,1.3814,403.4548297,40118.07219,84.1,-4,241.9,1.3,1.2,"Alnus rubra A",-0.542058183,111.7417156,"Alnus rubra",-0.839368688,85.45424152,-2.592189039,243.2248304,-1.031578169,86.01354595,-3.217470807,245.3931267,0.621216808,78.99519696,-0.743864035,122.0170688,-2.299102248,351.8817003,88,"prov33",512.793,-30.98912131,1869.566948,63.31666055,-207.7755003,-0.00562147362813655,85.779364249491,-0.0179351958245352,244.476015145374
"prov34",50.62,-127.25,37,8.3,4.14,83.7,240.9,49.2186,-123.0548,93,"1996",10.1,2.8,"North America","North America","same","Alnus rubra","angiosperm","A","NA ALNURU Hamann et al. 1998",73.23611779,2.98126526,1.4014,339.1454727,40118.07219,84.1,0.4,241.9,1,1.8,"Alnus rubra A",-0.542058183,111.7417156,"Alnus rubra",-0.839368688,85.45424152,-2.592189039,243.2248304,-1.031578169,86.01354595,-3.217470807,245.3931267,0.621216808,78.99519696,-0.743864035,122.0170688,-2.299102248,351.8817003,84,"prov34",411.5675,-30.98912131,1869.566948,63.31666055,-207.7755003,-0.00562147362813655,85.779364249491,-0.0179351958245352,244.476015145374
"prov35",50.67,-128.07,20,8.3,7.82,85.3,233.7,49.2186,-123.0548,93,"1996",10.1,2.8,"North America","North America","same","Alnus rubra","angiosperm","A","NA ALNURU Hamann et al. 1998",64.42223802,2.540163826,1.4514,394.4174562,40118.07219,84.1,-1.2,241.9,8.2,1.8,"Alnus rubra A",-0.542058183,111.7417156,"Alnus rubra",-0.839368688,85.45424152,-2.592189039,243.2248304,-1.031578169,86.01354595,-3.217470807,245.3931267,0.621216808,78.99519696,-0.743864035,122.0170688,-2.299102248,351.8817003,85,"prov35",491.081,-30.98912131,1869.566948,63.31666055,-207.7755003,-0.00562147362813655,85.779364249491,-0.0179351958245352,244.476015145374
"prov36",50.72,-127.98,170,7.8,8.61,85.4,233.1,49.2186,-123.0548,93,"1996",10.1,2.8,"North America","North America","same","Alnus rubra","angiosperm","A","NA ALNURU Hamann et al. 1998",53.85259556,2.879947462,1.5014,390.7115103,40118.07219,84.1,-1.3,241.9,8.8,2.3,"Alnus rubra A",-0.542058183,111.7417156,"Alnus rubra",-0.839368688,85.45424152,-2.592189039,243.2248304,-1.031578169,86.01354595,-3.217470807,245.3931267,0.621216808,78.99519696,-0.743864035,122.0170688,-2.299102248,351.8817003,85,"prov36",356.8295,-30.98912131,1869.566948,63.31666055,-207.7755003,-0.00562147362813655,85.779364249491,-0.0179351958245352,244.476015145374
"prov37",51.5,-126.13,30,7,13.14,85.4,234.4,49.2186,-123.0548,93,"1996",10.1,2.8,"North America","North America","same","Alnus rubra","angiosperm","A","NA ALNURU Hamann et al. 1998",12.9327022,5.402322529,2.2814,335.0333645,40118.07219,84.1,-1.3,241.9,7.5,3.1,"Alnus rubra A",-0.542058183,111.7417156,"Alnus rubra",-0.839368688,85.45424152,-2.592189039,243.2248304,-1.031578169,86.01354595,-3.217470807,245.3931267,0.621216808,78.99519696,-0.743864035,122.0170688,-2.299102248,351.8817003,85,"prov37",35.6915,-30.98912131,1869.566948,63.31666055,-207.7755003,-0.00562147362813655,85.779364249491,-0.0179351958245352,244.476015145374
