"prov_identifier","lat_prov","long_prov","elev_prov","MAT_prov","MSP100_prov","spring_event","fall_event","lat_garden","long_garden","elev_garden","year","MAT_garden","MSP100_garden","prov_continent","garden_continent","prov_garden_continent","species","species_type","garden_identifier","label","percentage","sd","distance_from_garden","earth_distance_from_garden","earth_distance_from_garden_min","spring_event_closest_prov","spring_event_difference","fall_event_closest_prov","fall_event_difference","MAT_diffo","species_garden","fitA_spring_lat_slope","fitA_spring_lat_intercept","Species","fitA_spring_lat_diffo_slope","fitA_spring_lat_diffo_intercept","fitA_fall_lat_diffo_slope","fitA_fall_lat_diffo_intercept","fitA_spring_mat_diffo_slope","fitA_spring_mat_diffo_intercept","fitA_fall_mat_diffo_slope","fitA_fall_mat_diffo_intercept","fitA_spring_mat_slope","fitA_spring_mat_intercept","fitC_spring_lat_slope","fitC_spring_lat_intercept","fitC_fall_lat_slope","fitC_fall_lat_intercept","doy","identifier","gdd_10yr_mean","fitD_spring_lat_slope","fitD_spring_lat_intercept","fitD_spring_mat_slope","fitD_spring_mat_intercept","fitA_spring_earth_distance_slope","fitA_spring_earth_distance_intercept","fitA_fall_earth_distance_slope","fitA_fall_earth_distance_intercept"
"prov1",48.6,-124.23,20,9.5,5.47,84.7,245.4,49.2186,-123.0548,93,"1996",10.1,2.8,"North America","North America","same","Alnus rubra","angiosperm","A","NA ALNURU Hamann et al. 1998",82.83678778,3.308492791,0.6186,110.2424744,40118.07219,84.1,-0.6,241.9,-3.5,0.6,"Alnus rubra A",-0.542058183,111.7417156,"Alnus rubra",-0.839368688,85.45424152,-2.592189039,243.2248304,-1.031578169,86.01354595,-3.217470807,245.3931267,0.621216808,78.99519696,-0.743864035,122.0170688,-2.299102248,351.8817003,85,"prov1",438.927,-30.98912131,1869.566948,63.31666055,-207.7755003,-0.00562147362813655,85.779364249491,-0.0179351958245352,244.476015145374
"prov2",48.77,-124.97,40,9.8,6.36,87,240.3,49.2186,-123.0548,93,"1996",10.1,2.8,"North America","North America","same","Alnus rubra","angiosperm","A","NA ALNURU Hamann et al. 1998",69.65635768,3.160845616,0.4486,148.763738,40118.07219,84.1,-2.9,241.9,1.6,0.3,"Alnus rubra A",-0.542058183,111.7417156,"Alnus rubra",-0.839368688,85.45424152,-2.592189039,243.2248304,-1.031578169,86.01354595,-3.217470807,245.3931267,0.621216808,78.99519696,-0.743864035,122.0170688,-2.299102248,351.8817003,87,"prov2",405.9375,-30.98912131,1869.566948,63.31666055,-207.7755003,-0.00562147362813655,85.779364249491,-0.0179351958245352,244.476015145374
"prov3",48.83,-124.67,30,8.9,6.13,86.2,242.6,49.2186,-123.0548,93,"1996",10.1,2.8,"North America","North America","same","Alnus rubra","angiosperm","A","NA ALNURU Hamann et al. 1998",85.73084106,3.252149241,0.3886,125.783347,40118.07219,84.1,-2.1,241.9,-0.7,1.2,"Alnus rubra A",-0.542058183,111.7417156,"Alnus rubra",-0.839368688,85.45424152,-2.592189039,243.2248304,-1.031578169,86.01354595,-3.217470807,245.3931267,0.621216808,78.99519696,-0.743864035,122.0170688,-2.299102248,351.8817003,86,"prov3",469.5875,-30.98912131,1869.566948,63.31666055,-207.7755003,-0.00562147362813655,85.779364249491,-0.0179351958245352,244.476015145374
"prov4",48.85,-123.65,150,9.6,1.7,88.9,240.8,49.2186,-123.0548,93,"1996",10.1,2.8,"North America","North America","same","Alnus rubra","angiosperm","A","NA ALNURU Hamann et al. 1998",90.59908894,3.852672965,0.3686,59.78690039,40118.07219,84.1,-4.8,241.9,1.1,0.5,"Alnus rubra A",-0.542058183,111.7417156,"Alnus rubra",-0.839368688,85.45424152,-2.592189039,243.2248304,-1.031578169,86.01354595,-3.217470807,245.3931267,0.621216808,78.99519696,-0.743864035,122.0170688,-2.299102248,351.8817003,89,"prov4",443.0405,-30.98912131,1869.566948,63.31666055,-207.7755003,-0.00562147362813655,85.779364249491,-0.0179351958245352,244.476015145374
"prov5",48.92,-124.5,160,8.9,6.5,88,244.9,49.2186,-123.0548,93,"1996",10.1,2.8,"North America","North America","same","Alnus rubra","angiosperm","A","NA ALNURU Hamann et al. 1998",74.94465244,3.696448042,0.2986,110.6972113,40118.07219,84.1,-3.9,241.9,-3,1.2,"Alnus rubra A",-0.542058183,111.7417156,"Alnus rubra",-0.839368688,85.45424152,-2.592189039,243.2248304,-1.031578169,86.01354595,-3.217470807,245.3931267,0.621216808,78.99519696,-0.743864035,122.0170688,-2.299102248,351.8817003,88,"prov5",364.7895,-30.98912131,1869.566948,63.31666055,-207.7755003,-0.00562147362813655,85.779364249491,-0.0179351958245352,244.476015145374
"prov6",48.92,-124.87,40,9.3,6.15,86.7,243.1,49.2186,-123.0548,93,"1996",10.1,2.8,"North America","North America","same","Alnus rubra","angiosperm","A","NA ALNURU Hamann et al. 1998",68.2990355,3.537278182,0.2986,136.7271005,40118.07219,84.1,-2.6,241.9,-1.2,0.8,"Alnus rubra A",-0.542058183,111.7417156,"Alnus rubra",-0.839368688,85.45424152,-2.592189039,243.2248304,-1.031578169,86.01354595,-3.217470807,245.3931267,0.621216808,78.99519696,-0.743864035,122.0170688,-2.299102248,351.8817003,87,"prov6",336.264,-30.98912131,1869.566948,63.31666055,-207.7755003,-0.00562147362813655,85.779364249491,-0.0179351958245352,244.476015145374
"prov7",48.95,-123.47,50,10.1,1.7,85.9,244.5,49.2186,-123.0548,93,"1996",10.1,2.8,"North America","North America","same","Alnus rubra","angiosperm","A","NA ALNURU Hamann et al. 1998",90.62450219,3.594243968,0.2686,42.56964052,40118.07219,84.1,-1.8,241.9,-2.6,0,"Alnus rubra A",-0.542058183,111.7417156,"Alnus rubra",-0.839368688,85.45424152,-2.592189039,243.2248304,-1.031578169,86.01354595,-3.217470807,245.3931267,0.621216808,78.99519696,-0.743864035,122.0170688,-2.299102248,351.8817003,86,"prov7",481.0625,-30.98912131,1869.566948,63.31666055,-207.7755003,-0.00562147362813655,85.779364249491,-0.0179351958245352,244.476015145374
"prov8",48.97,-124.72,200,9.1,8.18,86.3,240,49.2186,-123.0548,93,"1996",10.1,2.8,"North America","North America","same","Alnus rubra","angiosperm","A","NA ALNURU Hamann et al. 1998",64.34526684,3.763052726,0.2486,124.7156,40118.07219,84.1,-2.2,241.9,1.9,1,"Alnus rubra A",-0.542058183,111.7417156,"Alnus rubra",-0.839368688,85.45424152,-2.592189039,243.2248304,-1.031578169,86.01354595,-3.217470807,245.3931267,0.621216808,78.99519696,-0.743864035,122.0170688,-2.299102248,351.8817003,86,"prov8",281.348,-30.98912131,1869.566948,63.31666055,-207.7755003,-0.00562147362813655,85.779364249491,-0.0179351958245352,244.476015145374
"prov9",49,-125.57,40,9.3,6.24,89.2,246.8,49.2186,-123.0548,93,"1996",10.1,2.8,"North America","North America","same","Alnus rubra","angiosperm","A","NA ALNURU Hamann et al. 1998",74.72399523,2.891683834,0.2186,185.231944,40118.07219,84.1,-5.1,241.9,-4.9,0.8,"Alnus rubra A",-0.542058183,111.7417156,"Alnus rubra",-0.839368688,85.45424152,-2.592189039,243.2248304,-1.031578169,86.01354595,-3.217470807,245.3931267,0.621216808,78.99519696,-0.743864035,122.0170688,-2.299102248,351.8817003,89,"prov9",503.0465,-30.98912131,1869.566948,63.31666055,-207.7755003,-0.00562147362813655,85.779364249491,-0.0179351958245352,244.476015145374
"prov10",49.05,-123.93,107,9.3,1.91,84.6,243.4,49.2186,-123.0548,93,"1996",10.1,2.8,"North America","North America","same","Alnus rubra","angiosperm","A","NA ALNURU Hamann et al. 1998",87.04449344,3.740576814,0.1686,66.56265625,40118.07219,84.1,-0.5,241.9,-1.5,0.8,"Alnus rubra A",-0.542058183,111.7417156,"Alnus rubra",-0.839368688,85.45424152,-2.592189039,243.2248304,-1.031578169,86.01354595,-3.217470807,245.3931267,0.621216808,78.99519696,-0.743864035,122.0170688,-2.299102248,351.8817003,85,"prov10",398.202,-30.98912131,1869.566948,63.31666055,-207.7755003,-0.00562147362813655,85.779364249491,-0.0179351958245352,244.476015145374
