prov_identifier,lat_prov,long_prov,elev_prov,MAT_prov,MSP100_prov,spring_event,fall_event,lat_garden,long_garden,elev_garden,year,MAT_garden,MSP100_garden,prov_continent,garden_continent,prov_garden_continent,species,species_type,garden_identifier,label
prov1,49.58333333,18.91666667,700,5.7,,132,N.A.,52.25,17.06666667,70,2000,8.633333333,,Europe,Europe,same,Picea abies,gymnosperm,W,ALT EG PSEMEN Chmura 2005
prov2,49.58333333,18.91666667,760,5.7,,123,N.A.,52.25,17.06666667,70,2000,8.633333333,,Europe,Europe,same,Picea abies,gymnosperm,W,ALT EG PSEMEN Chmura 2005
prov3,49.58333333,18.91666667,740,5.7,,136,N.A.,52.25,17.06666667,70,2000,8.633333333,,Europe,Europe,same,Picea abies,gymnosperm,W,ALT EG PSEMEN Chmura 2005
prov4,49.58333333,18.91666667,700,5.7,,126,N.A.,52.25,17.06666667,70,2000,8.633333333,,Europe,Europe,same,Picea abies,gymnosperm,W,ALT EG PSEMEN Chmura 2005
prov5,49.58333333,18.91666667,670,5.7,,133,N.A.,52.25,17.06666667,70,2000,8.633333333,,Europe,Europe,same,Picea abies,gymnosperm,W,ALT EG PSEMEN Chmura 2005
prov6,49.58333333,18.91666667,800,5.7,,134,N.A.,52.25,17.06666667,70,2000,8.633333333,,Europe,Europe,same,Picea abies,gymnosperm,W,ALT EG PSEMEN Chmura 2005
prov7,49.58333333,18.91666667,560,5.7,,134,N.A.,52.25,17.06666667,70,2000,8.633333333,,Europe,Europe,same,Picea abies,gymnosperm,W,ALT EG PSEMEN Chmura 2005
prov8,49.58333333,18.91666667,540,5.7,,131,N.A.,52.25,17.06666667,70,2000,8.633333333,,Europe,Europe,same,Picea abies,gymnosperm,W,ALT EG PSEMEN Chmura 2005
prov9,49.58333333,18.91666667,630,5.7,,136,N.A.,52.25,17.06666667,70,2000,8.633333333,,Europe,Europe,same,Picea abies,gymnosperm,W,ALT EG PSEMEN Chmura 2005
prov10,49.58333333,18.91666667,580,5.7,,136,N.A.,52.25,17.06666667,70,2000,8.633333333,,Europe,Europe,same,Picea abies,gymnosperm,W,ALT EG PSEMEN Chmura 2005
prov11,49.58333333,18.91666667,660,5.7,,131,N.A.,52.25,17.06666667,70,2000,8.633333333,,Europe,Europe,same,Picea abies,gymnosperm,W,ALT EG PSEMEN Chmura 2005
prov12,49.58333333,18.91666667,720,5.7,,133,N.A.,52.25,17.06666667,70,2000,8.633333333,,Europe,Europe,same,Picea abies,gymnosperm,W,ALT EG PSEMEN Chmura 2005
prov13,49.58333333,18.91666667,760,5.7,,129,N.A.,52.25,17.06666667,70,2000,8.633333333,,Europe,Europe,same,Picea abies,gymnosperm,W,ALT EG PSEMEN Chmura 2005
prov14,49.58333333,18.91666667,630,5.7,,131,N.A.,52.25,17.06666667,70,2000,8.633333333,,Europe,Europe,same,Picea abies,gymnosperm,W,ALT EG PSEMEN Chmura 2005
prov15,49.58333333,18.91666667,630,5.7,,130,N.A.,52.25,17.06666667,70,2000,8.633333333,,Europe,Europe,same,Picea abies,gymnosperm,W,ALT EG PSEMEN Chmura 2005
prov16,49.58333333,18.91666667,630,5.7,,128,N.A.,52.25,17.06666667,70,2000,8.633333333,,Europe,Europe,same,Picea abies,gymnosperm,W,ALT EG PSEMEN Chmura 2005
prov17,49.58333333,18.91666667,595,5.7,,129,N.A.,52.25,17.06666667,70,2000,8.633333333,,Europe,Europe,same,Picea abies,gymnosperm,W,ALT EG PSEMEN Chmura 2005
prov18,49.58333333,18.91666667,660,5.7,,133,N.A.,52.25,17.06666667,70,2000,8.633333333,,Europe,Europe,same,Picea abies,gymnosperm,W,ALT EG PSEMEN Chmura 2005
prov19,49.58333333,18.91666667,650,5.7,,135,N.A.,52.25,17.06666667,70,2000,8.633333333,,Europe,Europe,same,Picea abies,gymnosperm,W,ALT EG PSEMEN Chmura 2005
