prov_identifier,lat_prov,long_prov,elev_prov,MAT_prov,MSP100_prov,spring_event,fall_event,lat_garden,long_garden,elev_garden,year,MAT_garden,MSP100_garden,prov_continent,garden_continent,prov_garden_continent,species,species_type,garden_identifier,label,percentage,sd,distance_from_garden,earth_distance_from_garden,earth_distance_from_garden_min,spring_event_closest_prov,spring_event_difference 
prov1,48.6,-124.23,20,9.5,5.47,84.7,245.4,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,A,NA ALNURU Hamann et al. 1998,82.83678778,3.308492791,0.6186,110242.4744,40118.07219,84.1,-0.6
prov2,48.77,-124.97,40,9.8,6.36,87,240.3,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,A,NA ALNURU Hamann et al. 1998,69.65635768,3.160845616,0.4486,148763.738,40118.07219,84.1,-2.9
prov3,48.83,-124.67,30,8.9,6.13,86.2,242.6,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,A,NA ALNURU Hamann et al. 1998,85.73084106,3.252149241,0.3886,125783.347,40118.07219,84.1,-2.1
prov4,48.85,-123.65,150,9.6,1.7,88.9,240.8,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,A,NA ALNURU Hamann et al. 1998,90.59908894,3.852672965,0.3686,59786.90039,40118.07219,84.1,-4.8
prov5,48.92,-124.5,160,8.9,6.5,88,244.9,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,A,NA ALNURU Hamann et al. 1998,74.94465244,3.696448042,0.2986,110697.2113,40118.07219,84.1,-3.9
prov6,48.92,-124.87,40,9.3,6.15,86.7,243.1,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,A,NA ALNURU Hamann et al. 1998,68.2990355,3.537278182,0.2986,136727.1005,40118.07219,84.1,-2.6
prov7,48.95,-123.47,50,10.1,1.7,85.9,244.5,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,A,NA ALNURU Hamann et al. 1998,90.62450219,3.594243968,0.2686,42569.64052,40118.07219,84.1,-1.8
prov8,48.97,-124.72,200,9.1,8.18,86.3,240,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,A,NA ALNURU Hamann et al. 1998,64.34526684,3.763052726,0.2486,124715.6,40118.07219,84.1,-2.2
prov9,49,-125.57,40,9.3,6.24,89.2,246.8,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,A,NA ALNURU Hamann et al. 1998,74.72399523,2.891683834,0.2186,185231.944,40118.07219,84.1,-5.1
prov10,49.05,-123.93,107,9.3,1.91,84.6,243.4,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,A,NA ALNURU Hamann et al. 1998,87.04449344,3.740576814,0.1686,66562.65625,40118.07219,84.1,-0.5
prov11,49.05,-124.7,500,7.5,7.72,84.8,239.5,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,A,NA ALNURU Hamann et al. 1998,59.53162693,3.966140749,0.1686,121511.0661,40118.07219,84.1,-0.7
prov12,49.05,-125.45,50,9.2,7.03,86.7,237.4,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,A,NA ALNURU Hamann et al. 1998,72.86296699,3.148600069,0.1686,175784.669,40118.07219,84.1,-2.6
prov13,49.17,-124.68,400,7.8,5.46,82.5,243.7,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,A,NA ALNURU Hamann et al. 1998,56.13821718,4.25823485,0.0486,118576.4937,40118.07219,84.1,1.6
prov14,49.2,-124.75,100,9.1,2.89,85.8,243.4,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,A,NA ALNURU Hamann et al. 1998,71.36291597,3.875185583,0.0186,123534.9806,40118.07219,84.1,-1.7
prov15,49.32,-124.45,50,8.9,2.05,84.7,238.7,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,A,NA ALNURU Hamann et al. 1998,82.63051269,3.760662316,0.1014,102160.5857,40118.07219,84.1,-0.6
prov16,49.53,-124.88,100,8.7,2.33,85.8,244,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,A,NA ALNURU Hamann et al. 1998,77.83127843,3.947960377,0.3114,136995.4173,40118.07219,84.1,-1.7
prov17,49.57,-122.93,190,8.3,6.55,84.1,241.9,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,A,NA ALNURU Hamann et al. 1998,62.13771766,4.394370234,0.3514,40118.07219,40118.07219,84.1,0
prov18,49.65,-124.03,150,9.4,2.88,82.4,244.8,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,A,NA ALNURU Hamann et al. 1998,93.72158345,3.680628038,0.4314,85470.66223,40118.07219,84.1,1.7
prov19,49.72,-123.12,100,8.5,4.21,80.3,244.4,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,A,NA ALNURU Hamann et al. 1998,80.27236238,4.194980674,0.5014,55964.99599,40118.07219,84.1,3.8
prov20,49.75,-125.12,250,8.2,2.56,86.2,241.1,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,A,NA ALNURU Hamann et al. 1998,75.14416067,3.988606891,0.5314,160885.2999,40118.07219,84.1,-2.1
prov21,49.88,-123.18,250,7.9,3.88,83,241.6,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,A,NA ALNURU Hamann et al. 1998,75.73957619,4.313658308,0.6614,74116.9381,40118.07219,84.1,1.1
prov22,49.97,-124.75,150,9.1,2.76,82.6,242.4,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,A,NA ALNURU Hamann et al. 1998,86.92565567,3.808006981,0.7514,148334.1393,40118.07219,84.1,1.5
prov23,49.97,-126.25,1000,4.4,4.97,84.1,238.8,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,A,NA ALNURU Hamann et al. 1998,60.87271011,3.989587896,0.7514,245632.2667,40118.07219,84.1,0
prov24,50.02,-126.82,200,8.4,8.67,83.4,239.8,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,A,NA ALNURU Hamann et al. 1998,52.1627489,4.030292391,0.8014,286264.8352,40118.07219,84.1,0.7
prov25,50.07,-123.1,540,6.3,3.48,84,236.6,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,A,NA ALNURU Hamann et al. 1998,54.82384418,4.563374449,0.8514,94750.82756,40118.07219,84.1,0.1
prov26,50.08,-125.53,100,9.1,2.66,84.4,238.9,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,A,NA ALNURU Hamann et al. 1998,59.01248318,4.161476439,0.8614,202790.8413,40118.07219,84.1,-0.3
prov27,50.17,-125.22,50,9,3.48,81.7,239.8,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,A,NA ALNURU Hamann et al. 1998,80.15404411,3.844240759,0.9514,188671.0921,40118.07219,84.1,2.4
prov28,50.18,-126.43,250,8.4,5.53,81.8,240.2,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,A,NA ALNURU Hamann et al. 1998,60.29033791,3.899026433,0.9614,265905.8503,40118.07219,84.1,2.3
prov29,50.22,-125.55,700,6.1,3.72,85.4,236.8,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,A,NA ALNURU Hamann et al. 1998,66.22940885,3.936051916,1.0014,211600.0783,40118.07219,84.1,-1.3
prov30,50.23,-125.72,250,7.7,3.26,84.8,238.8,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,A,NA ALNURU Hamann et al. 1998,74.4819103,3.762294665,1.0114,222657.5527,40118.07219,84.1,-0.7
prov31,50.23,-125.72,300,7.5,3.26,86.7,240.9,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,A,NA ALNURU Hamann et al. 1998,74.4819103,3.762294665,1.0114,222657.5527,40118.07219,84.1,-2.6
prov32,50.35,-125.92,80,8.1,4.08,82.1,239.6,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,A,NA ALNURU Hamann et al. 1998,85.31107236,3.479880023,1.1314,241660.1045,40118.07219,84.1,2
prov33,50.6,-128.25,30,8.9,7.28,88.1,240.6,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,A,NA ALNURU Hamann et al. 1998,60.66983068,2.455241578,1.3814,403454.8297,40118.07219,84.1,-4
prov34,50.62,-127.25,37,8.3,4.14,83.7,240.9,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,A,NA ALNURU Hamann et al. 1998,73.23611779,2.98126526,1.4014,339145.4727,40118.07219,84.1,0.4
prov35,50.67,-128.07,20,8.3,7.82,85.3,233.7,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,A,NA ALNURU Hamann et al. 1998,64.42223802,2.540163826,1.4514,394417.4562,40118.07219,84.1,-1.2
prov36,50.72,-127.98,170,7.8,8.61,85.4,233.1,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,A,NA ALNURU Hamann et al. 1998,53.85259556,2.879947462,1.5014,390711.5103,40118.07219,84.1,-1.3
prov37,51.5,-126.13,30,7,13.14,85.4,234.4,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,A,NA ALNURU Hamann et al. 1998,12.9327022,5.402322529,2.2814,335033.3645,40118.07219,84.1,-1.3
prov38,52.35,-131.35,1,8.6,6.38,84.8,233.8,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,A,NA ALNURU Hamann et al. 1998,58.37815274,2.761534331,3.1314,680252.433,40118.07219,84.1,-0.7
prov39,52.37,-126.58,40,6.4,3.57,80.5,237.1,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,A,NA ALNURU Hamann et al. 1998,69.66396664,4.591097705,3.1514,429632.5708,40118.07219,84.1,3.6
prov40,52.37,-126.92,30,7.5,5.56,81.6,235.3,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,A,NA ALNURU Hamann et al. 1998,58.64293418,4.314844764,3.1514,443906.7249,40118.07219,84.1,2.5
prov41,52.43,-126.55,150,6.2,3.78,82.4,229.9,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,A,NA ALNURU Hamann et al. 1998,27.73399548,4.77572036,3.2114,433801.5086,40118.07219,84.1,1.7
prov42,53.12,-131.67,10,7.9,3.42,80.8,232,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,A,NA ALNURU Hamann et al. 1998,56.80189062,2.727888512,3.9014,741797.7397,40118.07219,84.1,3.3
prov43,53.13,-132.25,20,7.9,7.86,81.4,234.6,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,A,NA ALNURU Hamann et al. 1998,34.32935631,2.509032125,3.9114,775523.397,40118.07219,84.1,2.7
prov44,53.37,-132.45,100,7.7,7.72,80.3,238,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,A,NA ALNURU Hamann et al. 1998,46.74975106,2.687857503,4.1514,800706.5516,40118.07219,84.1,3.8
prov45,53.85,-132.18,10,8,4.06,83.4,233.1,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,A,NA ALNURU Hamann et al. 1998,51.20640799,2.814810924,4.6314,815265.8096,40118.07219,84.1,0.7
prov46,54.05,-132,10,7.3,4.23,81.7,235.5,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,A,NA ALNURU Hamann et al. 1998,NA,NA,4.8314,818979.6139,40118.07219,84.1,2.4
prov47,54.25,-128.5,60,6.1,3.67,81.9,228.8,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,A,NA ALNURU Hamann et al. 1998,51.30521246,4.752835347,5.0314,674012.4125,40118.07219,84.1,2.2
prov48,54.25,-129.55,10,6.6,8.92,80.8,231.1,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,A,NA ALNURU Hamann et al. 1998,27.12242535,4.910565189,5.0314,716824.29,40118.07219,84.1,3.3
prov49,54.25,-130.03,160,6.8,9.56,82.4,226.5,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,A,NA ALNURU Hamann et al. 1998,44.27306079,4.305806541,5.0314,737926.8722,40118.07219,84.1,1.7
prov50,54.27,-130.27,46,8.1,8.61,80.2,231.3,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,A,NA ALNURU Hamann et al. 1998,59.22777984,3.34511659,5.0514,750389.0539,40118.07219,84.1,3.9
prov51,54.32,-129.33,20,6.8,7.77,80.5,228.5,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,A,NA ALNURU Hamann et al. 1998,60.4886819,4.204433725,5.1014,713421.2931,40118.07219,84.1,3.6
prov52,54.33,-129.28,10,5.3,5.72,78.7,234.7,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,A,NA ALNURU Hamann et al. 1998,63.80260363,4.278683638,5.1114,712199.3514,40118.07219,84.1,5.4
prov53,54.43,-128.92,100,5.5,3.66,81.4,227.8,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,A,NA ALNURU Hamann et al. 1998,47.3919985,4.492525898,5.2114,706394.3068,40118.07219,84.1,2.7
prov54,54.45,-128.48,100,5.6,3.61,81.7,230.4,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,A,NA ALNURU Hamann et al. 1998,58.92292244,4.93106193,5.2314,691388.0224,40118.07219,84.1,2.4
prov55,54,-130,200,6.5,10.84,79,229.3,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,A,NA ALNURU Hamann et al. 1998,36.41442293,5.33804989,4.7814,716608.8514,40118.07219,84.1,5.1
prov1,46.23,-113.77,2164,1.7,2.62,103.4,304.6,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,34.28694054,5.10443944,0.47,253523.6326,201649.1896,103.4,0
prov2,44.88,-114.3,2134,3.1,1.88,103.1,304.8,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,40.14888031,5.042589337,1.82,291506.1666,201649.1896,103.4,0.3
prov3,44.35,-115.22,2225,3.4,2.79,104.1,305.9,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,33.14910069,5.079624487,2.35,295876.0386,201649.1896,103.4,-0.7
prov4,44.52,-115.6,1859,3.5,2.46,103,305.8,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,30.74854661,5.075129311,2.18,265755.8242,201649.1896,103.4,0.4
prov5,45.05,-115.92,2073,3,3.72,103.4,306.5,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,39.04224364,4.815158952,1.65,201649.1896,201649.1896,103.4,0
prov6,44.63,-115.57,2195,2.3,2.59,103.2,305.7,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,31.33326545,5.110273797,2.07,255626.284,201649.1896,103.4,0.2
prov7,44.63,-115.6,1920,3.8,2.66,104,309,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,28.86477659,5.162398573,2.07,254616.2976,201649.1896,103.4,-0.6
prov8,43.83,-114.62,2164,2.4,1.64,103.2,306.2,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,42.0064923,4.960362651,2.87,369587.8522,201649.1896,103.4,0.2
prov9,44.5,-114.4,2134,3.4,2.53,103.6,307.2,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,41.61425501,5.011651921,2.2,317666.3597,201649.1896,103.4,-0.2
prov10,43.83,-114.25,2438,1.9,2.62,103.7,304.2,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,29.32852661,5.067704762,2.87,385064.4482,201649.1896,103.4,-0.3
prov11,43.87,-114.72,2530,1.8,2.16,102,304.3,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,29.86679684,5.076492474,2.83,361787.9436,201649.1896,103.4,1.4
prov12,44.93,-109.52,2987,0.4,3.47,102.4,299.9,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,26.64138938,5.472099142,1.77,613445.8232,201649.1896,103.4,1
prov13,39.53,-111.25,2606,3.3,1.98,103.5,307.1,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,41.74650784,4.68953747,7.17,923243.6724,201649.1896,103.4,-0.1
prov14,39.57,-111.25,2667,3.3,2.01,102.6,306.2,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,38.65411652,4.709585306,7.13,919343.3101,201649.1896,103.4,0.8
prov15,43.82,-110.38,2240,1.7,2.26,101.6,304.4,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,40.65592666,5.238705121,2.88,609958.2854,201649.1896,103.4,1.8
prov16,43.77,-110.32,2393,1.8,2.46,102.1,302.9,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,35.04764717,5.209316414,2.93,617070.3204,201649.1896,103.4,1.3
prov17,43.8,-110.23,2591,1.5,2.52,102.7,303.4,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,30.34035202,5.166896757,2.9,621225.4962,201649.1896,103.4,0.7
prov18,43.43,-110.87,1935,3.9,2.05,102.7,307,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,51.0114093,5.149378612,3.27,603968.6159,201649.1896,103.4,0.7
prov19,43.43,-110.92,2057,3.8,2.64,103.2,306.5,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,50.48480849,5.129797016,3.27,600831.9452,201649.1896,103.4,0.2
prov20,43.42,-110.92,2195,2.9,2.51,102.4,305.2,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,47.71754782,5.076459127,3.28,601536.5482,201649.1896,103.4,1
prov21,43.17,-110.52,2210,0.5,1.97,101.5,304.7,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,41.35104903,5.098214575,3.53,644251.1167,201649.1896,103.4,1.9
prov22,43.18,-110.27,2347,0,1.85,102.3,304.4,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,39.82740631,5.237318266,3.52,659295.7134,201649.1896,103.4,1.1
prov23,43.07,-110.87,2012,3.4,2.35,102.5,305.1,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,41.76362855,4.960791329,3.63,629961.3674,201649.1896,103.4,0.9
prov24,42.73,-110.68,2225,2.8,2.6,102.4,303.5,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,40.22103751,5.007182287,3.97,666998.2113,201649.1896,103.4,1
prov25,42.67,-110.68,2332,2.1,2.51,101.9,303.4,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,39.73240572,4.997025916,4.03,671609.4981,201649.1896,103.4,1.5
