prov_identifier,lat_prov,long_prov,elev_prov,MAT_prov,MSP100_prov,spring_event,fall_event,lat_garden,long_garden,elev_garden,year,MAT_garden,MSP100_garden,prov_continent,garden_continent,prov_garden_continent,species,species_type,garden_identifier,label,percentage,sd,distance_from_garden,earth_distance_from_garden,earth_distance_from_garden_min,spring_event_closest_prov,spring_event_difference 
prov26,42.57,-110.68,2560,0.9,2.46,102.2,302.8,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,34.83290844,4.92849945,4.13,679370.3523,201649.1896,103.4,1.2
prov27,42.53,-110.63,2743,0.3,2.49,101.7,302.5,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,26.23410566,4.914529891,4.17,685414.7198,201649.1896,103.4,1.7
prov28,41.9,-111.48,2408,4.2,2.33,102.1,304.2,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,44.03744981,4.851391626,4.8,691382.5592,201649.1896,103.4,1.3
prov29,41.58,-111.43,2560,3.2,2.37,102.7,304.8,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,37.7098844,4.986405937,5.12,722301.9877,201649.1896,103.4,0.7
prov30,40.62,-111.58,2560,4,2.41,102.7,305.2,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,38.32325119,5.008032873,6.08,804194.5309,201649.1896,103.4,0.7
prov31,40.58,-111.02,2499,4.2,2.24,102.9,306.9,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,46.03140145,4.781887261,6.12,833218.1909,201649.1896,103.4,0.5
prov32,40.63,-110.97,2652,2.9,2.66,103.2,304.9,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,33.99682539,4.847321438,6.07,830928.4338,201649.1896,103.4,0.2
prov33,40.28,-111.28,2637,2.8,2.16,102.1,305.7,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,41.9333379,4.976936371,6.42,849665.9922,201649.1896,103.4,1.3
prov34,39.83,-111.72,2835,3.4,2.31,102.3,306.7,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,44.09709035,5.13950303,6.87,874894.0483,201649.1896,103.4,1.1
prov35,39.6,-111.22,2606,3.6,2.09,103.3,305.2,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,38.7139887,4.727815059,7.1,917662.2782,201649.1896,103.4,0.1
prov36,39.45,-111.27,2682,3.4,2.27,102.4,304.4,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,40.59461038,4.709998343,7.25,930245.1708,201649.1896,103.4,1
prov37,39.6,-111.3,2758,3.2,2.09,101.9,305.4,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,31.76657656,4.800173628,7.1,914363.4384,201649.1896,103.4,1.5
prov38,39.13,-111.38,2926,4.9,2.42,102.9,306.1,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,33.06368644,4.839862133,7.57,957399.5474,201649.1896,103.4,0.5
prov39,38.22,-112.43,2926,3.6,2.79,104.6,306.8,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,43.95583914,4.798173353,8.48,1013742.626,201649.1896,103.4,-1.2
prov40,38.02,-111.72,2850,4.3,1.98,102.5,306.7,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,42.98763886,4.837424275,8.68,1057126.779,201649.1896,103.4,0.9
prov41,38.03,-111.68,2911,4.1,1.95,103.2,307,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,40.42612803,4.862319468,8.67,1057452.926,201649.1896,103.4,0.2
prov42,37.53,-112.77,2865,2.9,2.52,103.5,306.4,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,45.75461427,4.503143088,9.17,1076533.209,201649.1896,103.4,-0.1
prov43,37.57,-112.83,3018,2.4,2.64,102.3,305.2,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,35.90014121,4.545183955,9.13,1070706.254,201649.1896,103.4,1.1
prov44,37.58,-112.87,3231,2.1,2.7,101.6,305.1,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,41.49763408,4.560288639,9.12,1068594.258,201649.1896,103.4,1.8
prov45,37.87,-109.47,2804,5.4,2.84,103.4,309.4,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,37.16536218,4.82547221,8.83,1159672.363,201649.1896,103.4,0
prov46,37.85,-109.45,2972,4.6,2.79,102.3,306.3,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,36.23654035,4.804120979,8.85,1162473.85,201649.1896,103.4,1.1
prov47,37.85,-109.47,3109,4.1,2.94,103.5,307.9,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,39.93153878,4.796383643,8.85,1161598.018,201649.1896,103.4,-0.1
