prov_identifier,lat_prov,long_prov,elev_prov,MAT_prov,MSP100_prov,spring_event,fall_event,lat_garden,long_garden,elev_garden,year,MAT_garden,MSP100_garden,prov_continent,garden_continent,prov_garden_continent,species,species_type,garden_identifier,label,percentage,sd,distance_from_garden,distance_from_garden_min,spring_event_closest_prov,spring_event_difference
prov1,58.416667,-134.833333,30,5.7,7.34,102,183,55.85,-3.226081,185,1985,6.558333333,8.791666667,North America,Europe,different,Alnus rubra,angiosperm,A,NA ALNURU Cannell et al. 1987,65.97372025,4.755951527,2.566667,0.433333,99,-3
prov2,58.416667,-134.666667,45,5.8,8.76,100,183,55.85,-3.226081,185,1985,6.558333333,8.791666667,North America,Europe,different,Alnus rubra,angiosperm,A,NA ALNURU Cannell et al. 1987,36.92752588,5.003929039,2.566667,0.433333,99,-1
prov3,57.5,-135.833333,30,6.6,9.86,99,183,55.85,-3.226081,185,1985,6.558333333,8.791666667,North America,Europe,different,Alnus rubra,angiosperm,A,NA ALNURU Cannell et al. 1987,65.44947902,3.763528447,1.65,0.433333,99,0
prov4,55.416667,-132.833333,80,6.9,8.18,99,183,55.85,-3.226081,185,1985,6.558333333,8.791666667,North America,Europe,different,Alnus rubra,angiosperm,A,NA ALNURU Cannell et al. 1987,81.2163316,3.647304604,0.433333,0.433333,99,0
prov5,48.333333,-116.083333,740,7.2,6.19,101,199,55.85,-3.226081,185,1985,6.558333333,8.791666667,North America,Europe,different,Alnus rubra,angiosperm,A,NA ALNURU Cannell et al. 1987,42.07415671,5.050969642,7.516667,0.433333,99,-2
prov6,50.316667,-125.933333,55,8.4,4.1,101,190,55.85,-3.226081,185,1985,6.558333333,8.791666667,North America,Europe,different,Alnus rubra,angiosperm,A,NA ALNURU Cannell et al. 1987,68.29433947,3.518577883,5.533333,0.433333,99,-2
prov7,50.05,-123.866667,15,8.9,5.22,103,196,55.85,-3.226081,185,1985,6.558333333,8.791666667,North America,Europe,different,Alnus rubra,angiosperm,A,NA ALNURU Cannell et al. 1987,72.01535804,4.232881665,5.8,0.433333,99,-4
prov8,49.05,-123.933333,168,9,1.92,105,202,55.85,-3.226081,185,1985,6.558333333,8.791666667,North America,Europe,different,Alnus rubra,angiosperm,A,NA ALNURU Cannell et al. 1987,65.62856034,3.740576814,6.8,0.433333,99,-6
prov9,48.7,-123.683333,521,7.9,1.73,102,198,55.85,-3.226081,185,1985,6.558333333,8.791666667,North America,Europe,different,Alnus rubra,angiosperm,A,NA ALNURU Cannell et al. 1987,67.88715615,3.92423368,7.15,0.433333,99,-3
prov10,48.5,-124.333333,182,8.1,4.09,102,200,55.85,-3.226081,185,1985,6.558333333,8.791666667,North America,Europe,different,Alnus rubra,angiosperm,A,NA ALNURU Cannell et al. 1987,59.3993587,3.165158184,7.35,0.433333,99,-3
prov11,48.366667,-124.016667,90,9.3,2.85,102,204,55.85,-3.226081,185,1985,6.558333333,8.791666667,North America,Europe,different,Alnus rubra,angiosperm,A,NA ALNURU Cannell et al. 1987,NA,NA,7.483333,0.433333,99,-3
prov12,46.416667,-123.766667,75,10.9,4.83,103,204,55.85,-3.226081,185,1985,6.558333333,8.791666667,North America,Europe,different,Alnus rubra,angiosperm,A,NA ALNURU Cannell et al. 1987,88.96424293,3.310138771,9.433333,0.433333,99,-4
prov1,48.6,-124.23,20,9.5,5.47,84.7,245.4,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998,82.83678778,3.308492791,0.6186,0.0186,85.8,1.1
prov2,48.77,-124.97,40,9.8,6.36,87,240.3,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998,69.65635768,3.160845616,0.4486,0.0186,85.8,-1.2
prov3,48.83,-124.67,30,8.9,6.13,86.2,242.6,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998,85.73084106,3.252149241,0.3886,0.0186,85.8,-0.4
prov4,48.85,-123.65,150,9.6,1.7,88.9,240.8,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998,90.59908894,3.852672965,0.3686,0.0186,85.8,-3.1
prov5,48.92,-124.5,160,8.9,6.5,88,244.9,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998,74.94465244,3.696448042,0.2986,0.0186,85.8,-2.2
prov6,48.92,-124.87,40,9.3,6.15,86.7,243.1,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998,68.2990355,3.537278182,0.2986,0.0186,85.8,-0.9
prov7,48.95,-123.47,50,10.1,1.7,85.9,244.5,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998,90.62450219,3.594243968,0.2686,0.0186,85.8,-0.1
prov8,48.97,-124.72,200,9.1,8.18,86.3,240,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998,64.34526684,3.763052726,0.2486,0.0186,85.8,-0.5
prov9,49,-125.57,40,9.3,6.24,89.2,246.8,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998,74.72399523,2.891683834,0.2186,0.0186,85.8,-3.4
prov10,49.05,-123.93,107,9.3,1.91,84.6,243.4,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998,87.04449344,3.740576814,0.1686,0.0186,85.8,1.2
prov11,49.05,-124.7,500,7.5,7.72,84.8,239.5,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998,59.53162693,3.966140749,0.1686,0.0186,85.8,1
prov12,49.05,-125.45,50,9.2,7.03,86.7,237.4,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998,72.86296699,3.148600069,0.1686,0.0186,85.8,-0.9
prov13,49.17,-124.68,400,7.8,5.46,82.5,243.7,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998,56.13821718,4.25823485,0.0486,0.0186,85.8,3.3
prov14,49.2,-124.75,100,9.1,2.89,85.8,243.4,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998,71.36291597,3.875185583,0.0186,0.0186,85.8,0
prov15,49.32,-124.45,50,8.9,2.05,84.7,238.7,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998,82.63051269,3.760662316,0.1014,0.0186,85.8,1.1
prov16,49.53,-124.88,100,8.7,2.33,85.8,244,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998,77.83127843,3.947960377,0.3114,0.0186,85.8,0
prov17,49.57,-122.93,190,8.3,6.55,84.1,241.9,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998,62.13771766,4.394370234,0.3514,0.0186,85.8,1.7
prov18,49.65,-124.03,150,9.4,2.88,82.4,244.8,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998,93.72158345,3.680628038,0.4314,0.0186,85.8,3.4
prov19,49.72,-123.12,100,8.5,4.21,80.3,244.4,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998,80.27236238,4.194980674,0.5014,0.0186,85.8,5.5
