"percentage","sd","identifier","label"
84.3404836768132,3.64564272882042,"prov1","NG PSEUME White et al. 1979"
41.0273087055573,4.46040757680951,"prov10","NG PSEUME White et al. 1979"
76.0780964826974,3.90524916201011,"prov11","NG PSEUME White et al. 1979"
32.8786282821572,4.39421077774447,"prov12","NG PSEUME White et al. 1979"
32.8786282821572,4.39421077774447,"prov13","NG PSEUME White et al. 1979"
84.3364822808551,4.41944868608652,"prov14","NG PSEUME White et al. 1979"
91.8458377740247,4.03275973222564,"prov15","NG PSEUME White et al. 1979"
21.4940914260335,4.22428274382948,"prov16","NG PSEUME White et al. 1979"
80.4425675064006,3.91522197566138,"prov2","NG PSEUME White et al. 1979"
50.4873452672882,4.6933776786063,"prov3","NG PSEUME White et al. 1979"
32.637551572376,5.04513820173327,"prov4","NG PSEUME White et al. 1979"
89.2627701240277,3.81118977021689,"prov5","NG PSEUME White et al. 1979"
83.7742765054169,3.54264578839081,"prov6","NG PSEUME White et al. 1979"
56.3524943274746,3.98686110432796,"prov7","NG PSEUME White et al. 1979"
99.9999820233315,3.78080360987977,"prov8","NG PSEUME White et al. 1979"
61.7104893959545,4.19064824932401,"prov9","NG PSEUME White et al. 1979"
