"percentage","sd","identifier","label"
62.123263570352,5.52144691302178,"prov1","EG PICEAB Sogaard et al. 2008"
85.9052021127781,5.60820228925577,"prov2","EG PICEAB Sogaard et al. 2008"
64.3616944275803,5.05282332280902,"prov3","EG PICEAB Sogaard et al. 2008"
73.944141609266,5.80277318747192,"prov4","EG PICEAB Sogaard et al. 2008"
82.486338975435,5.9569637707666,"prov5","EG PICEAB Sogaard et al. 2008"
78.8704548677574,5.79727690741559,"prov6","EG PICEAB Sogaard et al. 2008"
37.7737167616849,4.73716068056543,"prov7","EG PICEAB Sogaard et al. 2008"
36.4616770723277,5.35684503984846,"prov8","EG PICEAB Sogaard et al. 2008"
38.3642549376839,6.57752248817838,"prov9","EG PICEAB Sogaard et al. 2008"
