"percentage","sd","identifier","label"
48.2568086306014,3.52672505843726,"prov1","NA POPUTR McKown et al. 2013"
80.8353234962255,4.3008519598913,"prov10","NA POPUTR McKown et al. 2013"
80.720115517417,3.93945171499159,"prov11","NA POPUTR McKown et al. 2013"
77.4208804228306,3.95738518700205,"prov12","NA POPUTR McKown et al. 2013"
95.7592794490712,3.6359089796321,"prov13","NA POPUTR McKown et al. 2013"
30.9204724397836,4.99678636233065,"prov14","NA POPUTR McKown et al. 2013"
37.6672189514762,4.91696124960735,"prov15","NA POPUTR McKown et al. 2013"
70.18809102925,4.82200171571989,"prov16","NA POPUTR McKown et al. 2013"
75.0573341117913,4.74479086603379,"prov17","NA POPUTR McKown et al. 2013"
67.207218487636,4.54982369398842,"prov18","NA POPUTR McKown et al. 2013"
85.2606841770648,3.89555129249621,"prov19","NA POPUTR McKown et al. 2013"
65.1481550132981,4.84173401013662,"prov2","NA POPUTR McKown et al. 2013"
43.5750940175798,4.73427166224082,"prov20","NA POPUTR McKown et al. 2013"
84.1648805926565,3.61789622802808,"prov21","NA POPUTR McKown et al. 2013"
72.7354956624358,4.79118957559514,"prov22","NA POPUTR McKown et al. 2013"
80.3744473632219,4.60292571115666,"prov23","NA POPUTR McKown et al. 2013"
49.5654188105796,5.60069714778028,"prov24","NA POPUTR McKown et al. 2013"
84.4276995420373,4.34589534299106,"prov25","NA POPUTR McKown et al. 2013"
85.435340521075,4.30043731071848,"prov26","NA POPUTR McKown et al. 2013"
54.3130402238611,4.68593358365008,"prov27","NA POPUTR McKown et al. 2013"
34.2468099509209,4.81317388675521,"prov28","NA POPUTR McKown et al. 2013"
80.463021184781,4.64932531555699,"prov29","NA POPUTR McKown et al. 2013"
77.0887039092508,4.64870043651137,"prov3","NA POPUTR McKown et al. 2013"
44.2036319362187,4.93712292639829,"prov30","NA POPUTR McKown et al. 2013"
84.3785176846778,4.34384249122354,"prov31","NA POPUTR McKown et al. 2013"
82.9754200976128,4.31359850183434,"prov32","NA POPUTR McKown et al. 2013"
33.5512314447808,6.30579183411723,"prov33","NA POPUTR McKown et al. 2013"
45.8465645408471,4.94448551832658,"prov34","NA POPUTR McKown et al. 2013"
38.7738225731051,5.82933294429646,"prov35","NA POPUTR McKown et al. 2013"
77.901147388401,3.57388320002304,"prov36","NA POPUTR McKown et al. 2013"
77.8493687855266,3.63365662883632,"prov37","NA POPUTR McKown et al. 2013"
35.8537835347831,6.107168648807,"prov38","NA POPUTR McKown et al. 2013"
84.2991734779524,3.66023161005523,"prov39","NA POPUTR McKown et al. 2013"
39.2159653611277,5.89191591580244,"prov4","NA POPUTR McKown et al. 2013"
56.2906785847875,4.55726555583249,"prov40","NA POPUTR McKown et al. 2013"
56.7701313224476,4.66860321048839,"prov41","NA POPUTR McKown et al. 2013"
70.1523872302716,4.01594860893602,"prov42","NA POPUTR McKown et al. 2013"
51.8432965035528,4.7397403725586,"prov43","NA POPUTR McKown et al. 2013"
64.6769682777586,4.65313957531284,"prov44","NA POPUTR McKown et al. 2013"
76.1849071358816,3.79538357510876,"prov45","NA POPUTR McKown et al. 2013"
56.7773466121103,4.8878421196041,"prov46","NA POPUTR McKown et al. 2013"
65.9006682768708,4.98128912925564,"prov47","NA POPUTR McKown et al. 2013"
67.9936166791193,5.01436177928217,"prov48","NA POPUTR McKown et al. 2013"
71.3376633427198,4.91905140336732,"prov49","NA POPUTR McKown et al. 2013"
38.4279725366728,5.90110243583761,"prov5","NA POPUTR McKown et al. 2013"
87.2880436836836,3.6393820312323,"prov50","NA POPUTR McKown et al. 2013"
73.6310137907699,2.8540060083279,"prov51","NA POPUTR McKown et al. 2013"
57.0021595524022,3.7975726899991,"prov52","NA POPUTR McKown et al. 2013"
45.9895509049938,6.9205129515595,"prov53","NA POPUTR McKown et al. 2013"
73.4613191495325,3.78401033186647,"prov54","NA POPUTR McKown et al. 2013"
63.9011235280006,3.82505250490717,"prov55","NA POPUTR McKown et al. 2013"
77.2454488744421,3.72682437440381,"prov56","NA POPUTR McKown et al. 2013"
83.235383222738,3.99411735637526,"prov57","NA POPUTR McKown et al. 2013"
55.7975524580116,4.93467288326677,"prov58","NA POPUTR McKown et al. 2013"
39.2639014633531,4.2652527267679,"prov59","NA POPUTR McKown et al. 2013"
80.8450564792789,3.82642171820346,"prov6","NA POPUTR McKown et al. 2013"
71.8885326774241,5.03301225079695,"prov60","NA POPUTR McKown et al. 2013"
68.5433998404134,4.94793721043254,"prov61","NA POPUTR McKown et al. 2013"
81.2407146830539,3.54868929608984,"prov62","NA POPUTR McKown et al. 2013"
65.5036399286871,3.70396030921667,"prov63","NA POPUTR McKown et al. 2013"
35.8400168451764,6.31750124975885,"prov64","NA POPUTR McKown et al. 2013"
47.5959115237195,6.34275391334523,"prov65","NA POPUTR McKown et al. 2013"
53.0028836100128,6.31214376562999,"prov66","NA POPUTR McKown et al. 2013"
58.5054577627929,6.27830857841206,"prov67","NA POPUTR McKown et al. 2013"
47.930442593855,6.71684787253395,"prov68","NA POPUTR McKown et al. 2013"
58.6658311431498,5.17907165599544,"prov69","NA POPUTR McKown et al. 2013"
70.6272416232899,3.49133417768286,"prov7","NA POPUTR McKown et al. 2013"
62.9125696037192,4.77798227882472,"prov70","NA POPUTR McKown et al. 2013"
63.5136396649885,4.56872314907792,"prov71","NA POPUTR McKown et al. 2013"
64.9413139495555,4.51426278331379,"prov72","NA POPUTR McKown et al. 2013"
64.820113252638,3.94216968407253,"prov73","NA POPUTR McKown et al. 2013"
61.8209957920051,4.9983898552316,"prov74","NA POPUTR McKown et al. 2013"
72.069736014624,4.39590858779689,"prov75","NA POPUTR McKown et al. 2013"
76.6072836393719,4.39116382863964,"prov76","NA POPUTR McKown et al. 2013"
20.2997026429394,4.78774140570119,"prov77","NA POPUTR McKown et al. 2013"
79.6048531713502,4.39444417667031,"prov78","NA POPUTR McKown et al. 2013"
57.4911035247377,4.42719087183707,"prov79","NA POPUTR McKown et al. 2013"
65.0919475021148,3.58310256585867,"prov8","NA POPUTR McKown et al. 2013"
55.6170752270961,4.47473200216441,"prov80","NA POPUTR McKown et al. 2013"
51.2114394274073,4.29550583904001,"prov81","NA POPUTR McKown et al. 2013"
85.7091320593851,3.5818802133673,"prov82","NA POPUTR McKown et al. 2013"
86.9136596170338,3.5445941206643,"prov83","NA POPUTR McKown et al. 2013"
80.7893259386347,4.25372296514479,"prov84","NA POPUTR McKown et al. 2013"
71.8379753917129,4.43570795901471,"prov85","NA POPUTR McKown et al. 2013"
35.8613123299645,4.60676655825429,"prov86","NA POPUTR McKown et al. 2013"
83.9713919865968,4.39566480984049,"prov87","NA POPUTR McKown et al. 2013"
28.3352975653239,5.86767214641916,"prov88","NA POPUTR McKown et al. 2013"
80.7607614697142,4.44926116460024,"prov89","NA POPUTR McKown et al. 2013"
62.2930827197175,4.42287636589223,"prov9","NA POPUTR McKown et al. 2013"
79.0591060339586,4.53583424940552,"prov90","NA POPUTR McKown et al. 2013"
37.8275847346813,5.81337330100107,"prov91","NA POPUTR McKown et al. 2013"
82.8922340433813,4.12556448898164,"prov92","NA POPUTR McKown et al. 2013"
78.9152703230993,4.76146961220242,"prov93","NA POPUTR McKown et al. 2013"
63.8945107930168,3.95188008068131,"prov94","NA POPUTR McKown et al. 2013"
43.9960612169913,6.64705172612881,"prov95","NA POPUTR McKown et al. 2013"
51.4987284486935,4.84640297141465,"prov96","NA POPUTR McKown et al. 2013"
79.2443713131067,4.69860758635785,"prov97","NA POPUTR McKown et al. 2013"
