"percentage","sd","identifier","label"
89.5827457672978,3.75964605867392,"prov1","EA QUEPET Alberto et al 2011 Garden U"
12.1528198624048,4.56625374173698,"prov10","EA QUEPET Alberto et al 2011 Garden U"
83.2566089786559,3.65809215255228,"prov2","EA QUEPET Alberto et al 2011 Garden U"
87.2765928450551,3.82639185772633,"prov3","EA QUEPET Alberto et al 2011 Garden U"
73.3317857592799,3.796006487701,"prov4","EA QUEPET Alberto et al 2011 Garden U"
19.6948495624244,4.37531252555935,"prov5","EA QUEPET Alberto et al 2011 Garden U"
33.9270363019613,4.2184140948386,"prov6","EA QUEPET Alberto et al 2011 Garden U"
29.5216480777295,4.43422035248237,"prov7","EA QUEPET Alberto et al 2011 Garden U"
16.2565963520064,4.5093932933362,"prov8","EA QUEPET Alberto et al 2011 Garden U"
29.5216480777295,4.43422035248237,"prov9","EA QUEPET Alberto et al 2011 Garden U"
