percentage,sd,identifier,label
65.82941079,4.962860542,prov1,NA BETUPA Hawkins & Dhar 2012 L
63.80406089,6.242550454,prov10,NA BETUPA Hawkins & Dhar 2012 L
71.76100491,6.574093327,prov11,NA BETUPA Hawkins & Dhar 2012 L
60.81366674,6.62539656,prov12,NA BETUPA Hawkins & Dhar 2012 L
68.46887782,6.76489902,prov13,NA BETUPA Hawkins & Dhar 2012 L
68.15405189,6.902733149,prov14,NA BETUPA Hawkins & Dhar 2012 L
84.08216318,4.874249088,prov15,NA BETUPA Hawkins & Dhar 2012 L
35.32103673,5.243393707,prov16,NA BETUPA Hawkins & Dhar 2012 L
49.84886714,5.533374832,prov17,NA BETUPA Hawkins & Dhar 2012 L
72.62774876,5.503150195,prov18,NA BETUPA Hawkins & Dhar 2012 L
83.87762287,5.348975063,prov2,NA BETUPA Hawkins & Dhar 2012 L
83.01839527,5.217706992,prov3,NA BETUPA Hawkins & Dhar 2012 L
40.65183177,5.641148654,prov4,NA BETUPA Hawkins & Dhar 2012 L
89.77994364,5.411173069,prov5,NA BETUPA Hawkins & Dhar 2012 L
75.10828607,5.526515823,prov6,NA BETUPA Hawkins & Dhar 2012 L
93.38920225,5.486133567,prov7,NA BETUPA Hawkins & Dhar 2012 L
74.15951375,6.189762555,prov8,NA BETUPA Hawkins & Dhar 2012 L
69.85597849,6.023658574,prov9,NA BETUPA Hawkins & Dhar 2012 L
