"percentage","sd","identifier","label"
43.5775298353539,5.74326833788436,"prov1","NG PINUAL Bower and Aitken 2008"
23.8168368798735,5.40150983930795,"prov10","NG PINUAL Bower and Aitken 2008"
17.3516102808998,5.52557486579084,"prov11","NG PINUAL Bower and Aitken 2008"
18.9709042078975,5.7222648012147,"prov12","NG PINUAL Bower and Aitken 2008"
20.1502791548702,5.60568241471124,"prov13","NG PINUAL Bower and Aitken 2008"
30.3083037093488,5.31153918405757,"prov14","NG PINUAL Bower and Aitken 2008"
26.9119664473301,5.10409063904308,"prov15","NG PINUAL Bower and Aitken 2008"
31.5915561198242,4.89755474829402,"prov16","NG PINUAL Bower and Aitken 2008"
19.9331355129535,4.96614253620434,"prov17","NG PINUAL Bower and Aitken 2008"
21.6744149852748,5.09856710210368,"prov18","NG PINUAL Bower and Aitken 2008"
30.2899576786535,5.19991616085084,"prov19","NG PINUAL Bower and Aitken 2008"
57.8296386878654,4.79426869619741,"prov2","NG PINUAL Bower and Aitken 2008"
25.8548217896372,5.566700951877,"prov20","NG PINUAL Bower and Aitken 2008"
20.6888710802546,4.64602116019361,"prov21","NG PINUAL Bower and Aitken 2008"
20.0224458661818,5.1538541949082,"prov22","NG PINUAL Bower and Aitken 2008"
24.7440342912463,5.18189040820797,"prov23","NG PINUAL Bower and Aitken 2008"
22.566534515723,5.49989496937438,"prov24","NG PINUAL Bower and Aitken 2008"
23.1256041164696,5.37759274498343,"prov25","NG PINUAL Bower and Aitken 2008"
19.4533209863091,5.14445784962475,"prov3","NG PINUAL Bower and Aitken 2008"
22.96183666163,4.73877863381922,"prov4","NG PINUAL Bower and Aitken 2008"
23.0967443583235,4.76513011039695,"prov5","NG PINUAL Bower and Aitken 2008"
22.4419288051492,5.42015250390052,"prov6","NG PINUAL Bower and Aitken 2008"
23.2087298256972,4.83838711930542,"prov7","NG PINUAL Bower and Aitken 2008"
29.9165389696612,4.92770148079021,"prov8","NG PINUAL Bower and Aitken 2008"
16.5321062133472,5.009904640524,"prov9","NG PINUAL Bower and Aitken 2008"
