"percentage","sd","identifier","label"
93.8164233821261,3.75964605867392,"prov1","EA QUEPET Alberto et al 2011 Garden V"
11.1741810419842,4.56625374173698,"prov10","EA QUEPET Alberto et al 2011 Garden V"
79.5303870403099,3.65809215255228,"prov2","EA QUEPET Alberto et al 2011 Garden V"
83.1860176904022,3.82639185772633,"prov3","EA QUEPET Alberto et al 2011 Garden V"
69.3938217839791,3.796006487701,"prov4","EA QUEPET Alberto et al 2011 Garden V"
18.0831426342864,4.37531252555935,"prov5","EA QUEPET Alberto et al 2011 Garden V"
31.3674015728462,4.2184140948386,"prov6","EA QUEPET Alberto et al 2011 Garden V"
27.2447901608647,4.43422035248237,"prov7","EA QUEPET Alberto et al 2011 Garden V"
14.9742883211486,4.5093932933362,"prov8","EA QUEPET Alberto et al 2011 Garden V"
27.2447901608647,4.43422035248237,"prov9","EA QUEPET Alberto et al 2011 Garden V"
