"percentage","sd","identifier","label"
65.9737202526666,4.75595152730754,"prov1","NA ALNURU Cannell et al. 1987"
59.3993587042444,3.16515818353376,"prov10","NA ALNURU Cannell et al. 1987"
88.9642429335026,3.31013877054221,"prov12","NA ALNURU Cannell et al. 1987"
36.9275258774113,5.00392903935387,"prov2","NA ALNURU Cannell et al. 1987"
65.4494790230889,3.76352844698462,"prov3","NA ALNURU Cannell et al. 1987"
81.2163316017486,3.64730460371568,"prov4","NA ALNURU Cannell et al. 1987"
42.0741567111481,5.05096964178943,"prov5","NA ALNURU Cannell et al. 1987"
68.2943394670415,3.5185778833848,"prov6","NA ALNURU Cannell et al. 1987"
72.0153580393916,4.23288166514867,"prov7","NA ALNURU Cannell et al. 1987"
65.6285603443463,3.74057681424272,"prov8","NA ALNURU Cannell et al. 1987"
67.8871561464198,3.92423367992521,"prov9","NA ALNURU Cannell et al. 1987"
