percentage,sd,identifier,label
75.19095466,4.962860542,prov1,NA BETUPA Hawkins & Dhar 2012 M
83.08924469,6.242550454,prov10,NA BETUPA Hawkins & Dhar 2012 M
94.88662728,6.574093327,prov11,NA BETUPA Hawkins & Dhar 2012 M
79.89265973,6.62539656,prov12,NA BETUPA Hawkins & Dhar 2012 M
89.98075195,6.76489902,prov13,NA BETUPA Hawkins & Dhar 2012 M
88.81457727,6.902733149,prov14,NA BETUPA Hawkins & Dhar 2012 M
75.84199831,4.874249088,prov15,NA BETUPA Hawkins & Dhar 2012 M
48.31322104,5.243393707,prov16,NA BETUPA Hawkins & Dhar 2012 M
66.06032442,5.533374832,prov17,NA BETUPA Hawkins & Dhar 2012 M
87.32850881,5.503150195,prov18,NA BETUPA Hawkins & Dhar 2012 M
84.41051272,5.348975063,prov2,NA BETUPA Hawkins & Dhar 2012 M
84.56219787,5.217706992,prov3,NA BETUPA Hawkins & Dhar 2012 M
53.66416221,5.641148654,prov4,NA BETUPA Hawkins & Dhar 2012 M
83.84603576,5.411173069,prov5,NA BETUPA Hawkins & Dhar 2012 M
86.33317423,5.526515823,prov6,NA BETUPA Hawkins & Dhar 2012 M
80.55948153,5.486133567,prov7,NA BETUPA Hawkins & Dhar 2012 M
93.06076738,6.189762555,prov8,NA BETUPA Hawkins & Dhar 2012 M
87.94503323,6.023658574,prov9,NA BETUPA Hawkins & Dhar 2012 M
