"percentage","sd","identifier","label"
66.4424185790389,3.45272412032164,"prov1","EA FRAXEX Rosique-Esplugas 2021"
82.7484530218821,2.86960735574613,"prov10","EA FRAXEX Rosique-Esplugas 2021"
86.0765735778313,3.27300947433899,"prov11","EA FRAXEX Rosique-Esplugas 2021"
87.1141753120142,3.1093152066238,"prov12","EA FRAXEX Rosique-Esplugas 2021"
88.7095420276071,3.19870455815366,"prov13","EA FRAXEX Rosique-Esplugas 2021"
72.2986212890215,3.34403942775923,"prov14","EA FRAXEX Rosique-Esplugas 2021"
83.3953201916587,3.35268637467485,"prov15","EA FRAXEX Rosique-Esplugas 2021"
67.0843929346219,3.44876516490136,"prov16","EA FRAXEX Rosique-Esplugas 2021"
66.173809985792,3.4608390312142,"prov17","EA FRAXEX Rosique-Esplugas 2021"
75.1257367102824,3.4084882492104,"prov18","EA FRAXEX Rosique-Esplugas 2021"
81.2688849970409,3.34284698621391,"prov19","EA FRAXEX Rosique-Esplugas 2021"
73.2856852241534,3.33047079189531,"prov2","EA FRAXEX Rosique-Esplugas 2021"
89.5220650184078,3.28120866467873,"prov20","EA FRAXEX Rosique-Esplugas 2021"
89.3050744387292,3.25034925683935,"prov21","EA FRAXEX Rosique-Esplugas 2021"
91.7432368533789,3.34085235929123,"prov22","EA FRAXEX Rosique-Esplugas 2021"
89.2233984880256,3.39987402858672,"prov23","EA FRAXEX Rosique-Esplugas 2021"
67.6685796169532,3.59973736515363,"prov24","EA FRAXEX Rosique-Esplugas 2021"
92.4843794353556,3.38864264002877,"prov25","EA FRAXEX Rosique-Esplugas 2021"
80.2279050438986,3.60669079802578,"prov26","EA FRAXEX Rosique-Esplugas 2021"
89.1716241284292,3.68901150005249,"prov27","EA FRAXEX Rosique-Esplugas 2021"
84.8189663106055,3.49426857057598,"prov28","EA FRAXEX Rosique-Esplugas 2021"
85.4582329510692,3.59318359240358,"prov29","EA FRAXEX Rosique-Esplugas 2021"
75.1705982963542,3.36733653260836,"prov3","EA FRAXEX Rosique-Esplugas 2021"
89.1072393266467,3.62703223147848,"prov30","EA FRAXEX Rosique-Esplugas 2021"
84.2135290606227,3.3626712586576,"prov31","EA FRAXEX Rosique-Esplugas 2021"
77.9433035251578,3.73062144161501,"prov32","EA FRAXEX Rosique-Esplugas 2021"
76.6877765211313,3.72407477848874,"prov33","EA FRAXEX Rosique-Esplugas 2021"
77.7486165253649,3.79758690549181,"prov34","EA FRAXEX Rosique-Esplugas 2021"
95.4074030754019,3.46011484524311,"prov35","EA FRAXEX Rosique-Esplugas 2021"
78.4636560279282,3.49657601939971,"prov36","EA FRAXEX Rosique-Esplugas 2021"
83.3113026020259,3.64207693683596,"prov37","EA FRAXEX Rosique-Esplugas 2021"
81.6634152524885,3.36023276553662,"prov38","EA FRAXEX Rosique-Esplugas 2021"
89.0466946780768,3.3122646683759,"prov39","EA FRAXEX Rosique-Esplugas 2021"
71.2647408519437,3.5965034336385,"prov40","EA FRAXEX Rosique-Esplugas 2021"
70.0759778039078,3.51449524925777,"prov41","EA FRAXEX Rosique-Esplugas 2021"
71.8010345613737,3.21609727762847,"prov42","EA FRAXEX Rosique-Esplugas 2021"
72.7573167172873,3.43705872618916,"prov5","EA FRAXEX Rosique-Esplugas 2021"
60.4673980198934,3.58914369880006,"prov6","EA FRAXEX Rosique-Esplugas 2021"
65.4456806748787,3.53733558908014,"prov7","EA FRAXEX Rosique-Esplugas 2021"
73.369192033748,3.26486229759983,"prov8","EA FRAXEX Rosique-Esplugas 2021"
84.5147158120403,3.02367847082228,"prov9","EA FRAXEX Rosique-Esplugas 2021"
