"percentage","identifier","label"
78.7070607171268,"prov1","EA FAGUSY Petkova et al 2017"
67.7491181299678,"prov2","EA FAGUSY Petkova et al 2017"
71.6586791243712,"prov3","EA FAGUSY Petkova et al 2017"
79.7716221955179,"prov4","EA FAGUSY Petkova et al 2017"
83.9529919155499,"prov5","EA FAGUSY Petkova et al 2017"
65.962950504204,"prov6","EA FAGUSY Petkova et al 2017"
75.5032705017685,"prov7","EA FAGUSY Petkova et al 2017"
83.6263809124912,"prov8","EA FAGUSY Petkova et al 2017"
