,Garden,,,,,,,,,,,,,excluded due to different continents,,,,,,,,
,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q*,R*,S*,T*,U*,V*
Alnus rubra,1,,,,,,,,,,,,,,,,,,,,,
Betula papyrifera,,,,,,,,,,,1,1,1,,,,,,,,,
Fagus sylvatica,,,,,,,,,,,,,,,,,,1,,1,,
Fraxinus excelsior,,,,,,,,,,,,,,,,,1,,,,,
Picea abies,,,,,,,,,,,,,,,,,,,1,,,
Picea engelmannii,,1,,,,,,,,,,,,,,,,,,,,
Picea mariana,,,,,,,,,1,,,,,,,,,,,,,
Picea sitchensis,,,,1,,,,,,,,,,,,,,,,,,
Pinus albicaulis,,,1,,,,,,,,,,,,,,,,,,,
Pinus ponderosa                      ,,,,,,,,,,1,,,,,,,,,,,,
Populus balsamifera,,,,,,1,,,,,,,,,,,,,,,,
Populus trichocarpa,,,,1,,,,,,,,,,,,,,,,,,
Pseudotsuga menziesii          ,,,,,,,,1,,,,,,,,,,,,,,
Quercus petraea,,,,,,,,,,,,,,,,,,,,,1,1
Tsuga heterophylla,,,,,1,,1,,,,,,,,,,,,,,,
